# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:23:31
# SEK
#----------------------------

"K-32","ENST00000581884.1"
"0.000000e+00","7.442134e+04"
"    7.496739","1.874177e+04"
"3.449525e+00","1.896575e+04"
"9.195734e+00","1.103278e+04"
"7.995359e-01","1.290521e+04"
"0.000000e+00","1.276171e+04"
"8.162464e-01","7.546717e+04"
"1.516261e+00","8.723598e+03"
"0.000000e+00","4.876697e+03"
"0.000000e+00","2.989241e+03"
"    0.000000","1.678652e+03"
"    0.000000","1.958626e+03"
"    0.000000","1.543728e+05"
"    0.000000","3.646823e+03"
"    1.282361","1.799542e+03"
"    0.000000","1.615965e+03"
"0.000000e+00","2.592118e+03"
"9.250488e-01","2.253536e+03"
"    0.00000","2.921511e+03"
"    0.000000","1.723128e+03"
"    0.000000","3.545570e+03"
"    0.000000","2.628781e+03"
"0.000000e+00","2.598795e+03"
"1.824702e+00","9.504929e+04"
"9.489369e-01","3.269836e+03"
"    0.000000","4.597992e+03"
"    1.343691","2.833352e+03"
"    0.000000","2.386695e+03"
"0.000000e+00","4.372466e+03"
"    0.000000","   2900.1025"
"2.005170e+01","1.614311e+05"
"0.000000e+00","4.321552e+03"
"    0.000000","2.807336e+03"
"    0.000000","1.982073e+03"
"    0.000000","1.404876e+03"
"    0.000000","3.039221e+03"
"    0.000000","2.458199e+03"
"    0.000000","5.022238e+03"
"2.971688e+01","3.710161e+03"
"    1.091845","3.081124e+03"
"    0.000000","1.949735e+03"
"    0.000000","3.649098e+03"
"    0.000000","2.693862e+03"
"    0.000000","4.402378e+03"
"0.000000e+00","5.938432e+03"
"0.000000e+00","1.488304e+05"
"    1.080314","3.169169e+03"
"2.258711e+00","2.814306e+03"
"    0.000000","2.764000e+03"
"0.000000e+00","3.568208e+03"
"    1.318247","2.934653e+03"
"    0.000000","1.251356e+03"
"    1.020009","1.500087e+05"
"    0.000000","1.670109e+03"
"    0.000000","3.113431e+03"
"    0.000000","5.270202e+03"
"9.809206e-01","2.002723e+03"
"    0.000000","3.055702e+03"
