# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:25:38
# SEK
#----------------------------

"W-117","ENST00000246006.4"
"0.000000e+00","8.242071e+03"
"    0.000000","6.928550e+03"
"1.207334e+01","8.883026e+03"
"2.122093e+00","5.805766e+03"
"2.398608e+00","6.543893e+03"
"0.000000e+00","2.722245e+03"
"0.000000e+00","1.437199e+03"
"2.274391e+00","3.918776e+03"
"0.000000e+00","3.518663e+03"
"0.000000e+00","4.198949e+03"
"    0.000000","1.436511e+03"
"    0.000000","3.564781e+03"
"    9.095726","2.142166e+04"
"    0.000000","4.614192e+03"
"    0.000000","2.713698e+03"
"    2.831557","3.828692e+03"
"0.000000e+00","4.139737e+03"
"0.000000e+00","5.783451e+03"
"    0.00000","3.838663e+03"
"    0.000000","2.531306e+03"
"    1.045096","7.769015e+03"
"    0.000000","3.902068e+03"
"0.000000e+00","4.085400e+03"
"5.930283e+01","1.204328e+03"
"0.000000e+00","5.608462e+03"
"    0.000000","3.117722e+03"
"    0.000000","3.281039e+03"
"    0.000000","3.257516e+03"
"0.000000e+00","5.458222e+03"
"    0.000000","   3868.3009"
"0.000000e+00","1.063060e+04"
"0.000000e+00","4.382296e+03"
"    0.000000","2.822641e+03"
"    0.000000","5.167842e+03"
"    0.000000","6.132466e+03"
"    0.000000","3.296169e+03"
"    6.122586","2.653222e+03"
"    0.000000","5.724512e+03"
"5.943375e+00","7.395476e+03"
"    0.000000","2.190320e+03"
"    0.000000","3.080277e+03"
"    0.000000","4.767415e+03"
"    0.000000","5.133851e+03"
"    0.000000","4.975509e+03"
"0.000000e+00","5.943513e+03"
"0.000000e+00","1.625854e+04"
"    0.000000","5.288935e+03"
"0.000000e+00","4.728011e+03"
"    0.000000","3.024739e+03"
"0.000000e+00","7.523484e+03"
"    1.318247","2.808954e+03"
"    0.000000","3.517056e+03"
"    0.000000","3.191731e+04"
"    0.000000","5.498612e+03"
"    0.000000","4.039725e+03"
"    0.000000","6.922583e+03"
"0.000000e+00","6.736027e+03"
"    0.000000","5.090170e+03"
