# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:23:26
# SEK
#----------------------------

"UID-51","ENST00000387347.2"
"5.140674e+00",6741684
"    1.070963",2907746
"3.449525e+00",3658287
"5.658913e+00",2909265
"3.997680e+00",2599223
"0.000000e+00",3965308
"1.224370e+00",8870697
"1.971139e+01",2915656
"7.542741e-01",2118080
"1.300664e+00",1949859
"    0.000000",2535503
"    0.000000",1214169
"   19.328417",16358330
"    3.131746",1383287
"    0.000000",1931695
"    0.000000",2059514
"0.000000e+00",1638919
"0.000000e+00",1907391
"    0.00000",1950972
"    0.000000",2274115
"    3.135288",2502068
"    0.000000",2348513
"2.769093e+00",2066006
"4.561756e-01",5706610
"9.489369e-01",1646507
"    1.317490",2822397
"    0.000000",2665111
"    0.000000",2080909
"0.000000e+00",1645796
"    0.000000",3070309.9575
"6.181155e+02",11800910
"0.000000e+00",2094782
"    3.544004",3012574
"    0.000000",1149917
"    0.000000",1056443
"    0.000000",1525337
"    3.061293",1606157
"    0.000000",3271698
"9.905626e-01",1238928
"    0.000000",1926130
"    0.000000",1742349
"    0.000000",2093142
"    0.000000",1286371
"    0.000000",1816137
"4.189062e+00",1637541
"0.000000e+00",12576460
"    3.240942",2119286
"0.000000e+00",1645576
"    1.083699",2411014
"0.000000e+00",1256686
"    0.000000",2089594
"    0.000000",1417463
"    0.000000",13753770
"    0.000000",1092028
"    0.000000",2809731
"    1.080163",2388115
"0.000000e+00",1201249
"    0.723513",2130579
