# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:23:47
# SEK
#----------------------------

"K-32","ENST00000271638.2"
"0.000000e+00","8.738634e+04"
"    7.496739","1.727017e+04"
"3.449525e+00","1.282240e+04"
"9.195734e+00","5.199280e+03"
"7.995359e-01","1.166497e+04"
"0.000000e+00","6.364953e+03"
"8.162464e-01","3.886129e+04"
"1.516261e+00","4.812532e+03"
"0.000000e+00","3.743895e+03"
"0.000000e+00","2.917309e+03"
"    0.000000","4.104867e+03"
"    0.000000","6.270480e+03"
"    0.000000","3.807339e+04"
"    0.000000","1.031962e+04"
"    1.282361","4.460340e+03"
"    0.000000","5.872629e+03"
"0.000000e+00","9.477002e+03"
"9.250488e-01","7.973993e+03"
"    0.00000","5.336154e+03"
"    0.000000","3.766570e+03"
"    0.000000","8.276074e+03"
"    0.000000","6.278749e+03"
"0.000000e+00","4.552681e+03"
"1.824702e+00","4.151624e+04"
"9.489369e-01","1.125781e+04"
"    0.000000","6.300216e+03"
"    1.343691","7.976251e+03"
"    0.000000","1.343783e+04"
"0.000000e+00","8.939535e+03"
"    0.000000","   5686.7617"
"2.005170e+01","6.224942e+04"
"0.000000e+00","1.041410e+04"
"    0.000000","7.306322e+03"
"    0.000000","5.008691e+03"
"    0.000000","1.064104e+04"
"    0.000000","8.787428e+03"
"    0.000000","7.543316e+03"
"    0.000000","5.954639e+03"
"2.971688e+01","2.476754e+03"
"    1.091845","7.352547e+03"
"    0.000000","3.804545e+03"
"    0.000000","6.177059e+03"
"    0.000000","1.039376e+04"
"    0.000000","6.927048e+03"
"0.000000e+00","1.262004e+04"
"0.000000e+00","6.104315e+04"
"    1.080314","8.456607e+03"
"2.258711e+00","4.141477e+03"
"    0.000000","6.595555e+03"
"0.000000e+00","8.198291e+03"
"    1.318247","7.197525e+03"
"    0.000000","4.823806e+03"
"    1.020009","6.364288e+04"
"    0.000000","1.084352e+04"
"    0.000000","3.967793e+03"
"    0.000000","8.469109e+03"
"9.809206e-01","7.089537e+03"
"    0.000000","8.657990e+03"
