# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:23:18
# SEK
#----------------------------

"K-32","ENST00000389680.2"
"0.000000e+00",3245891
"    7.496739",1157709
"3.449525e+00",1232205
"9.195734e+00",1236392
"7.995359e-01",1188181
"0.000000e+00",1459273
"8.162464e-01",3212367
"1.516261e+00",1072508
"0.000000e+00",853691.7
"0.000000e+00",738103
"    0.000000",1085763
"    0.000000",488364.8
"    0.000000",4903617
"    0.000000",837795.8
"    1.282361",1059781
"    0.000000",895137.4
"0.000000e+00",999925.1
"9.250488e-01",738358.9
"    0.00000",680973.8
"    0.000000",813944.7
"    0.000000",991833.2
"    0.000000",895714.7
"0.000000e+00",713975
"1.824702e+00",2819663
"9.489369e-01",1005851
"    0.000000",1264451
"    1.343691",1194744
"    0.000000",1499929
"0.000000e+00",631023.9
"    0.000000",1217139.9853
"2.005170e+01",3257777
"0.000000e+00",878082
"    0.000000",1711498
"    0.000000",498860.5
"    0.000000",916460.7
"    0.000000",772009.8
"    0.000000",891058.2
"    0.000000",1044742
"2.971688e+01",332672.2
"    1.091845",882802.2
"    0.000000",588100.3
"    0.000000",895042.9
"    0.000000",898521.8
"    0.000000",704866.1
"0.000000e+00",562406.8
"0.000000e+00",5531467
"    1.080314",805788.6
"2.258711e+00",633580.4
"    0.000000",805574.4
"0.000000e+00",577922.8
"    1.318247",800064.9
"    0.000000",849575.6
"    1.020009",4130884
"    0.000000",701458.7
"    0.000000",819606.7
"    0.000000",1108052
"9.809206e-01",534862.6
"    0.000000",813334.5
