# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:24:58
# SEK
#----------------------------

"UID-123","ENST00000266682.9"
"6.425843e+01","1.012348e+05"
"    3.212888","9.466408e+00"
"1.121096e+01","0.000000e+00"
"4.244185e+00","1.459652e+00"
"8.794895e+00","0.000000e+00"
"0.000000e+00","5.504428e+00"
"4.407730e+01","0.000000e+00"
"5.306912e+00","0.000000e+00"
"5.279918e+00","0.000000e+00"
"1.950996e+00","0.000000e+00"
"    1.218486","0.000000e+00"
"    1.347212","0.000000e+00"
"    0.000000","0.000000e+00"
"    1.043915","0.000000e+00"
"    2.564721","0.000000e+00"
"    0.000000","0.000000e+00"
"1.817646e+00","0.000000e+00"
"9.250488e-01","0.000000e+00"
"    0.00000","0.000000e+00"
"    1.049337","0.000000e+00"
"    0.000000","7.694379e-01"
"    4.527093","9.134055e-01"
"6.461217e+00","0.000000e+00"
"9.853393e+01","0.000000e+00"
"0.000000e+00","0.000000e+00"
"    0.000000","0.000000e+00"
"    0.000000","0.000000e+00"
"    8.396633","0.000000e+00"
"9.669471e-01","0.000000e+00"
"    3.359339","      0.0000"
"2.179533e+01","0.000000e+00"
"1.900022e+00","0.000000e+00"
"    1.181335","0.000000e+00"
"    1.024218","0.000000e+00"
"    0.000000","0.000000e+00"
"    1.174620","0.000000e+00"
"    3.061293","0.000000e+00"
"    3.140573","0.000000e+00"
"9.905626e-01","1.888376e+01"
"    0.000000","0.000000e+00"
"    1.311524","0.000000e+00"
"    0.000000","0.000000e+00"
"    0.000000","0.000000e+00"
"    2.485807","0.000000e+00"
"8.378125e-01","0.000000e+00"
"7.697282e-01","7.363468e+01"
"    2.160628","0.000000e+00"
"3.011615e+00","0.000000e+00"
"    0.000000","0.000000e+00"
"0.000000e+00","0.000000e+00"
"    0.000000","0.000000e+00"
"    0.000000","0.000000e+00"
"    5.100046","1.783588e+01"
"    0.000000","0.000000e+00"
"    0.000000","0.000000e+00"
"    0.000000","0.000000e+00"
"9.809206e-01","0.000000e+00"
"    3.617565","0.000000e+00"
