# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:25:13
# SEK
#----------------------------

"W-117","ENST00000519973.5"
"0.000000e+00","7.756672e+03"
"    0.000000","1.623231e+04"
"1.207334e+01","2.007264e+04"
"2.122093e+00","4.119868e+03"
"2.398608e+00","1.024934e+04"
"0.000000e+00","5.278746e+03"
"0.000000e+00","2.376359e+03"
"2.274391e+00","5.435784e+03"
"0.000000e+00","6.109159e+03"
"0.000000e+00","3.496518e+03"
"    0.000000","1.644061e+03"
"    0.000000","2.755024e+03"
"    9.095726","5.598895e+03"
"    0.000000","3.906713e+03"
"    0.000000","2.684000e+03"
"    2.831557","5.334897e+03"
"0.000000e+00","3.525453e+03"
"0.000000e+00","3.725646e+03"
"    0.00000","3.463877e+03"
"    0.000000","3.934941e+03"
"    1.045096","2.940022e+03"
"    0.000000","2.547488e+03"
"0.000000e+00","2.096135e+03"
"5.930283e+01","4.632032e+02"
"0.000000e+00","4.101869e+03"
"    0.000000","3.059858e+03"
"    0.000000","2.370641e+03"
"    0.000000","3.751672e+03"
"0.000000e+00","4.481616e+03"
"    0.000000","   3471.8113"
"0.000000e+00","5.398401e+03"
"0.000000e+00","4.039523e+03"
"    0.000000","2.812169e+03"
"    0.000000","4.261412e+03"
"    0.000000","3.491298e+03"
"    0.000000","5.125705e+03"
"    6.122586","2.360234e+03"
"    0.000000","2.812593e+03"
"5.943375e+00","8.437064e+03"
"    0.000000","3.669874e+03"
"    0.000000","2.562942e+03"
"    0.000000","3.877460e+03"
"    0.000000","5.614268e+03"
"    0.000000","3.425848e+03"
"0.000000e+00","6.426896e+03"
"0.000000e+00","5.301697e+02"
"    0.000000","7.220825e+03"
"0.000000e+00","3.383847e+03"
"    0.000000","5.541939e+03"
"0.000000e+00","4.704420e+03"
"    1.318247","6.672103e+03"
"    0.000000","2.010525e+03"
"    0.000000","1.226217e+03"
"    0.000000","7.987842e+03"
"    0.000000","3.983401e+03"
"    0.000000","3.241700e+03"
"0.000000e+00","3.355734e+03"
"    0.000000","5.030656e+03"
