# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:23:29
# SEK
#----------------------------

"UID-142","ENST00000387347.2"
"4.283895e-01",6741684
"    1.070963",2907746
"2.069715e+01",3658287
"2.122093e+00",2909265
"8.794895e+00",2599223
"0.000000e+00",3965308
"4.326106e+01",8870697
"7.581303e+00",2915656
"7.542741e-01",2118080
"9.104646e+00",1949859
"    8.529401",2535503
"    0.000000",1214169
"    0.000000",16358330
"    0.000000",1383287
"   10.258884",1931695
"    9.910450",2059514
"3.635293e+00",1638919
"1.665088e+01",1907391
"    2.19416",1950972
"    7.345359",2274115
"    3.135288",2502068
"    7.922413",2348513
"5.538186e+00",2066006
"0.000000e+00",5706610
"3.795748e+00",1646507
"    1.317490",2822397
"    2.687381",2665111
"    6.717306",2080909
"1.257031e+01",1645796
"    0.000000",3070309.9575
"1.743626e+00",11800910
"8.550097e+00",2094782
"    0.000000",3012574
"    1.024218",1149917
"    3.854194",1056443
"    0.000000",1525337
"    8.163448",1606157
"    4.710860",3271698
"9.905626e-01",1238928
"    7.642918",1926130
"    5.246095",1742349
"    8.284268",2093142
"    3.707606",1286371
"    4.971615",1816137
"8.378125e-01",1637541
"7.697282e-01",12576460
"   18.365336",2119286
"1.505807e+00",1645576
"    1.083699",2411014
"5.837765e+00",1256686
"    6.591236",2089594
"    2.111611",1417463
"    0.000000",13753770
"    1.262759",1092028
"    5.531291",2809731
"    9.721465",2388115
"3.923682e+00",1201249
"    1.447026",2130579
