# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:23:54
# SEK
#----------------------------

"K-32","ENST00000381603.7"
"0.000000e+00","2.466311e+04"
"    7.496739","7.740079e+03"
"3.449525e+00","8.924525e+03"
"9.195734e+00","3.282757e+03"
"7.995359e-01","8.381327e+03"
"0.000000e+00","3.789493e+03"
"8.162464e-01","1.417989e+04"
"1.516261e+00","4.040857e+03"
"0.000000e+00","1.712159e+03"
"0.000000e+00","1.400484e+03"
"    0.000000","9.358944e+02"
"    0.000000","2.300820e+03"
"    0.000000","4.219103e+04"
"    0.000000","3.418849e+03"
"    1.282361","1.166593e+03"
"    0.000000","1.746017e+03"
"0.000000e+00","2.597171e+03"
"9.250488e-01","2.298532e+03"
"    0.00000","1.671676e+03"
"    0.000000","1.441415e+03"
"    0.000000","2.212134e+03"
"    0.000000","1.630429e+03"
"0.000000e+00","1.440909e+03"
"1.824702e+00","1.559010e+04"
"9.489369e-01","2.346954e+03"
"    0.000000","1.626224e+03"
"    1.343691","1.598455e+03"
"    0.000000","3.036355e+03"
"0.000000e+00","1.941004e+03"
"    0.000000","   1484.8704"
"2.005170e+01","4.382965e+04"
"0.000000e+00","2.272864e+03"
"    0.000000","1.735151e+03"
"    0.000000","2.288485e+03"
"    0.000000","2.073453e+03"
"    0.000000","2.617156e+03"
"    0.000000","1.943882e+03"
"    0.000000","1.884388e+03"
"2.971688e+01","2.312763e+03"
"    1.091845","2.550396e+03"
"    0.000000","9.872074e+02"
"    0.000000","1.809982e+03"
"    0.000000","3.146952e+03"
"    0.000000","2.209562e+03"
"0.000000e+00","3.458633e+03"
"0.000000e+00","4.833380e+04"
"    1.080314","2.492521e+03"
"2.258711e+00","1.443775e+03"
"    0.000000","3.469964e+03"
"0.000000e+00","3.364420e+03"
"    1.318247","2.984932e+03"
"    0.000000","1.657275e+03"
"    1.020009","2.426126e+04"
"    0.000000","3.168708e+03"
"    0.000000","1.235736e+03"
"    0.000000","3.005216e+03"
"9.809206e-01","2.837005e+03"
"    0.000000","2.748632e+03"
