# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:24:17
# SEK
#----------------------------

"K-32","ENST00000485280.1"
"0.000000e+00","1.527065e+04"
"    7.496739","2.438891e+03"
"3.449525e+00","2.548032e+03"
"9.195734e+00","1.459652e+03"
"7.995359e-01","2.316804e+03"
"0.000000e+00","1.782823e+03"
"8.162464e-01","1.229445e+04"
"1.516261e+00","1.270277e+03"
"0.000000e+00","7.075861e+02"
"0.000000e+00","6.936741e+02"
"    0.000000","4.362382e+02"
"    0.000000","4.490659e+02"
"    0.000000","1.811940e+04"
"    0.000000","8.191863e+02"
"    1.282361","5.308603e+02"
"    0.000000","5.939961e+02"
"0.000000e+00","9.188988e+02"
"9.250488e-01","5.579470e+02"
"    0.00000","4.565119e+02"
"    0.000000","3.901267e+02"
"    0.000000","7.232716e+02"
"    0.000000","5.142473e+02"
"0.000000e+00","4.540152e+02"
"1.824702e+00","7.980329e+03"
"9.489369e-01","6.897015e+02"
"    0.000000","6.235444e+02"
"    1.343691","5.708768e+02"
"    0.000000","1.141513e+03"
"0.000000e+00","5.816550e+02"
"    0.000000","    527.9040"
"2.005170e+01","3.104800e+04"
"0.000000e+00","6.457740e+02"
"    0.000000","6.710217e+02"
"    0.000000","2.405562e+02"
"    0.000000","5.388962e+02"
"    0.000000","5.386185e+02"
"    0.000000","4.861973e+02"
"    0.000000","6.449169e+02"
"2.971688e+01","5.724760e+02"
"    1.091845","5.307281e+02"
"    0.000000","2.952130e+02"
"    0.000000","4.548450e+02"
"    0.000000","5.765005e+02"
"    0.000000","8.334378e+02"
"0.000000e+00","1.081101e+03"
"0.000000e+00","2.500634e+04"
"    1.080314","7.395227e+02"
"2.258711e+00","5.326263e+02"
"    0.000000","6.674269e+02"
"0.000000e+00","9.375517e+02"
"    1.318247","6.176011e+02"
"    0.000000","7.337416e+02"
"    1.020009","3.173449e+04"
"    0.000000","7.769472e+02"
"    0.000000","5.903848e+02"
"    0.000000","1.111097e+03"
"9.809206e-01","6.727841e+02"
"    0.000000","7.486721e+02"
