# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:23:39
# SEK
#----------------------------

"UID-51","ENST00000389680.2"
"5.140674e+00",3245891
"    1.070963",1157709
"3.449525e+00",1232205
"5.658913e+00",1236392
"3.997680e+00",1188181
"0.000000e+00",1459273
"1.224370e+00",3212367
"1.971139e+01",1072508
"7.542741e-01",853691.7
"1.300664e+00",738103
"    0.000000",1085763
"    0.000000",488364.8
"   19.328417",4903617
"    3.131746",837795.8
"    0.000000",1059781
"    0.000000",895137.4
"0.000000e+00",999925.1
"0.000000e+00",738358.9
"    0.00000",680973.8
"    0.000000",813944.7
"    3.135288",991833.2
"    0.000000",895714.7
"2.769093e+00",713975
"4.561756e-01",2819663
"9.489369e-01",1005851
"    1.317490",1264451
"    0.000000",1194744
"    0.000000",1499929
"0.000000e+00",631023.9
"    0.000000",1217139.9853
"6.181155e+02",3257777
"0.000000e+00",878082
"    3.544004",1711498
"    0.000000",498860.5
"    0.000000",916460.7
"    0.000000",772009.8
"    3.061293",891058.2
"    0.000000",1044742
"9.905626e-01",332672.2
"    0.000000",882802.2
"    0.000000",588100.3
"    0.000000",895042.9
"    0.000000",898521.8
"    0.000000",704866.1
"4.189062e+00",562406.8
"0.000000e+00",5531467
"    3.240942",805788.6
"0.000000e+00",633580.4
"    1.083699",805574.4
"0.000000e+00",577922.8
"    0.000000",800064.9
"    0.000000",849575.6
"    0.000000",4130884
"    0.000000",701458.7
"    0.000000",819606.7
"    1.080163",1108052
"0.000000e+00",534862.6
"    0.723513",813334.5
