# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:24:34
# SEK
#----------------------------

"K-32","ENST00000481999.1"
"0.000000e+00","3.943865e+04"
"    7.496739","4.500847e+02"
"3.449525e+00","6.979359e+02"
"9.195734e+00","6.874961e+02"
"7.995359e-01","9.137706e+02"
"0.000000e+00","8.250526e+02"
"8.162464e-01","2.860168e+03"
"1.516261e+00","7.504723e+02"
"0.000000e+00","2.059640e+02"
"0.000000e+00","2.739669e+02"
"    0.000000","6.332180e+02"
"    0.000000","4.500935e+02"
"    0.000000","1.017404e+04"
"    0.000000","2.545709e+02"
"    1.282361","3.740152e+02"
"    0.000000","3.689417e+02"
"0.000000e+00","3.869048e+02"
"9.250488e-01","2.782236e+02"
"    0.00000","3.450669e+02"
"    0.000000","4.172302e+02"
"    0.000000","2.208287e+02"
"    0.000000","3.607952e+02"
"0.000000e+00","4.097929e+02"
"1.824702e+00","1.359171e+04"
"9.489369e-01","2.710353e+02"
"    0.000000","3.014086e+02"
"    1.343691","3.445292e+02"
"    0.000000","4.469293e+02"
"0.000000e+00","2.901094e+02"
"    0.000000","    485.2224"
"2.005170e+01","2.786138e+04"
"0.000000e+00","3.138476e+02"
"    0.000000","5.638838e+02"
"    0.000000","4.801977e+02"
"    0.000000","1.220441e+03"
"    0.000000","3.328839e+02"
"    0.000000","3.274575e+02"
"    0.000000","2.518114e+02"
"2.971688e+01","6.847847e+02"
"    1.091845","3.157064e+02"
"    0.000000","3.379287e+02"
"    0.000000","3.975195e+02"
"    0.000000","2.547533e+02"
"    0.000000","3.280472e+02"
"0.000000e+00","2.089789e+02"
"0.000000e+00","3.394559e+04"
"    1.080314","3.181145e+02"
"2.258711e+00","3.205133e+02"
"    0.000000","2.902569e+02"
"0.000000e+00","3.172167e+02"
"    1.318247","2.958116e+02"
"    0.000000","6.184134e+02"
"    1.020009","1.751038e+04"
"    0.000000","3.589515e+02"
"    0.000000","3.182649e+02"
"    0.000000","3.063023e+02"
"9.809206e-01","3.207632e+02"
"    0.000000","3.350770e+02"
