# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:23:17
# SEK
#----------------------------

"K-32","ENST00000387347.2"
"0.000000e+00",6741684
"    7.496739",2907746
"3.449525e+00",3658287
"9.195734e+00",2909265
"7.995359e-01",2599223
"0.000000e+00",3965308
"8.162464e-01",8870697
"1.516261e+00",2915656
"0.000000e+00",2118080
"0.000000e+00",1949859
"    0.000000",2535503
"    0.000000",1214169
"    0.000000",16358330
"    0.000000",1383287
"    1.282361",1931695
"    0.000000",2059514
"0.000000e+00",1638919
"9.250488e-01",1907391
"    0.00000",1950972
"    0.000000",2274115
"    0.000000",2502068
"    0.000000",2348513
"0.000000e+00",2066006
"1.824702e+00",5706610
"9.489369e-01",1646507
"    0.000000",2822397
"    1.343691",2665111
"    0.000000",2080909
"0.000000e+00",1645796
"    0.000000",3070309.9575
"2.005170e+01",11800910
"0.000000e+00",2094782
"    0.000000",3012574
"    0.000000",1149917
"    0.000000",1056443
"    0.000000",1525337
"    0.000000",1606157
"    0.000000",3271698
"2.971688e+01",1238928
"    1.091845",1926130
"    0.000000",1742349
"    0.000000",2093142
"    0.000000",1286371
"    0.000000",1816137
"0.000000e+00",1637541
"0.000000e+00",12576460
"    1.080314",2119286
"2.258711e+00",1645576
"    0.000000",2411014
"0.000000e+00",1256686
"    1.318247",2089594
"    0.000000",1417463
"    1.020009",13753770
"    0.000000",1092028
"    0.000000",2809731
"    0.000000",2388115
"9.809206e-01",1201249
"    0.000000",2130579
