# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:23:40
# SEK
#----------------------------

"K-32","ENST00000457540.1"
"0.000000e+00","2.097457e+05"
"    7.496739","2.206534e+04"
"3.449525e+00","4.624485e+03"
"9.195734e+00","3.423614e+03"
"7.995359e-01","3.729731e+03"
"0.000000e+00","4.165017e+03"
"8.162464e-01","8.325081e+04"
"1.516261e+00","3.267896e+03"
"0.000000e+00","1.245086e+03"
"0.000000e+00","9.082189e+02"
"    0.000000","8.090586e+02"
"    0.000000","1.837368e+03"
"    0.000000","1.716587e+05"
"    0.000000","7.918295e+02"
"    1.282361","9.447828e+02"
"    0.000000","3.726311e+02"
"0.000000e+00","1.206912e+03"
"9.250488e-01","7.814258e+02"
"    0.00000","6.191391e+02"
"    0.000000","6.250240e+02"
"    0.000000","1.163390e+03"
"    0.000000","8.229783e+02"
"0.000000e+00","5.159263e+02"
"1.824702e+00","6.621159e+04"
"9.489369e-01","8.691299e+02"
"    0.000000","3.679084e+02"
"    1.343691","1.135744e+03"
"    0.000000","5.632691e+02"
"0.000000e+00","4.775316e+02"
"    0.000000","    954.7200"
"2.005170e+01","1.012080e+05"
"0.000000e+00","6.674686e+02"
"    0.000000","5.219952e+02"
"    0.000000","5.030643e+02"
"    0.000000","1.370295e+03"
"    0.000000","7.160977e+02"
"    0.000000","1.053125e+03"
"    0.000000","1.084188e+02"
"2.971688e+01","2.155730e+03"
"    1.091845","7.201520e+02"
"    0.000000","4.812636e+02"
"    0.000000","5.262670e+02"
"    0.000000","1.043695e+03"
"    0.000000","5.130019e+02"
"0.000000e+00","4.783013e+02"
"0.000000e+00","3.695430e+05"
"    1.080314","6.467081e+02"
"2.258711e+00","6.064557e+02"
"    0.000000","1.088053e+03"
"0.000000e+00","6.158491e+02"
"    1.318247","4.441365e+01"
"    0.000000","9.335227e+02"
"    1.020009","1.187772e+06"
"    0.000000","6.963472e+02"
"    0.000000","5.055594e+02"
"    0.000000","7.424828e+02"
"9.809206e-01","7.509283e+02"
"    0.000000","9.082088e+02"
