# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:23:51
# SEK
#----------------------------

"W-117","ENST00000357727.6"
"0.000000e+00","2.264871e+04"
"    0.000000","2.125725e+04"
"1.207334e+01","2.102862e+04"
"2.122093e+00","5.289049e+03"
"2.398608e+00","1.434332e+04"
"0.000000e+00","5.911144e+03"
"0.000000e+00","5.706106e+03"
"2.274391e+00","2.872099e+03"
"0.000000e+00","5.629462e+03"
"0.000000e+00","3.092448e+03"
"    0.000000","1.821823e+03"
"    0.000000","2.448796e+03"
"    9.095726","3.342124e+04"
"    0.000000","5.528368e+03"
"    0.000000","1.480284e+03"
"    2.831557","2.928475e+03"
"0.000000e+00","3.121224e+03"
"0.000000e+00","4.287343e+03"
"    0.00000","2.603686e+03"
"    0.000000","3.176042e+03"
"    1.045096","4.149579e+03"
"    0.000000","3.223408e+03"
"0.000000e+00","3.241492e+03"
"5.930283e+01","2.527766e+03"
"0.000000e+00","4.023133e+03"
"    0.000000","2.014860e+03"
"    0.000000","3.499375e+03"
"    0.000000","2.475389e+03"
"0.000000e+00","5.002233e+03"
"    0.000000","   1982.4480"
"0.000000e+00","1.047399e+04"
"0.000000e+00","5.193672e+03"
"    0.000000","1.441126e+03"
"    0.000000","4.070247e+03"
"    0.000000","2.691599e+03"
"    0.000000","4.445810e+03"
"    6.122586","3.446921e+03"
"    0.000000","3.353288e+03"
"5.943375e+00","1.066435e+04"
"    0.000000","2.552956e+03"
"    0.000000","2.199384e+03"
"    0.000000","3.779725e+03"
"    0.000000","4.760096e+03"
"    0.000000","3.886332e+03"
"0.000000e+00","6.045780e+03"
"0.000000e+00","1.344569e+04"
"    0.000000","5.018724e+03"
"0.000000e+00","3.290681e+03"
"    0.000000","3.962745e+03"
"0.000000e+00","6.001484e+03"
"    1.318247","6.361207e+03"
"    0.000000","2.263883e+03"
"    0.000000","4.081295e+04"
"    0.000000","6.152785e+03"
"    0.000000","3.642742e+03"
"    0.000000","3.017979e+03"
"0.000000e+00","4.928292e+03"
"    0.000000","6.597517e+03"
