"","ERV","Transcript","Multiple R-squared","Adjusted R-squared","Slope Estimate"
"1293","X1806","ENST00000003084.10",0.0309509830318172,0.00158586130550864,-6.63087988459865
"1310","X2593","ENST00000003084.10",0.000219893540720521,-0.0300764733216818,-0.763943112385609
"1321","X3184","ENST00000003084.10",0.259526522231964,0.23708793199657,0.851981943473428
"1342","X4017","ENST00000003084.10",0.00673436761850789,-0.023364590938507,0.174277508802028
"1403","K.42","ENST00000003084.10",0.178149314435584,0.15324474820636,0.446779545641049
"1406","UID.142","ENST00000003084.10",0.0451842880957024,0.0162504786440569,-1.55663705839212
"45708","X1806","ENST00000200676.7",0.102481957558674,0.0752844411210583,2.54554623341587
"45725","X2593","ENST00000200676.7",0.0430507042709376,0.0140522407639964,2.25511274540204
"45736","X3184","ENST00000200676.7",0.190368726336602,0.165834445316499,-0.153943254940824
"45757","X4017","ENST00000200676.7",0.188258475946171,0.16366024794454,-0.194398785881921
"45818","K.42","ENST00000200676.7",0.122551484517056,0.0959621355630278,-0.0781778708421106
"45821","UID.142","ENST00000200676.7",0.0768581879011166,0.0488841935950899,-0.428313792209446
"62487","X1806","ENST00000215832.10",0.00595144337011402,-0.024171240164125,-62.2869398093876
"62504","X2593","ENST00000215832.10",0.000656013211667922,-0.0296271379031299,28.2659105752936
"62515","X3184","ENST00000215832.10",0.0434356998985128,0.0144489029257405,7.46646155452921
"62536","X4017","ENST00000215832.10",0.0520013979089043,0.0232741675425076,-10.3741457844128
"62597","K.42","ENST00000215832.10",0.155779801133313,0.130197370864626,-8.94970419213189
"62600","UID.142","ENST00000215832.10",9.63702559453866e-05,-0.0302037397362986,1.5399869963861
"157380","X1806","ENST00000228740.6",0.00386259724186729,-0.0263233846598943,0.0231945578779768
"157397","X2593","ENST00000228740.6",0.0058320975436624,-0.024294202530772,0.0389564721986184
"157408","X3184","ENST00000228740.6",0.0841639410698607,0.0564113332234929,-0.00480413272409677
"157429","X4017","ENST00000228740.6",0.0539529784091165,0.0252848868457565,-0.00488442104427142
"157490","K.42","ENST00000228740.6",0.0648949985947201,0.0365584834006207,-0.00267004921450757
"157493","UID.142","ENST00000228740.6",0.0117321263094327,-0.0182153850145239,0.00785406437458148
"165840","X1806","ENST00000229471.8",0.0375758748064949,0.00841150737638874,0.583581432806655
"165857","X2593","ENST00000229471.8",0.00972076380976163,-0.0202876978929729,0.405712097372857
"165868","X3184","ENST00000229471.8",0.124915871005959,0.0983981701273514,-0.0472129683315344
"165889","X4017","ENST00000229471.8",0.130690800851272,0.104348097846765,-0.0613237100236767
"165950","K.42","ENST00000229471.8",0.0936104986929539,0.066144150168498,-0.0258688106734986
"165953","UID.142","ENST00000229471.8",0.00452100293563034,-0.0256450272784414,-0.0393300063303048
"167814","X1806","ENST00000229794.8",0.0284896127533658,-0.000950095951077534,-30.804295887505
"167831","X2593","ENST00000229794.8",0.0200886833640375,-0.00960559895826418,-35.3561197524501
"167842","X3184","ENST00000229794.8",1.67637579514305e-06,-0.0303013031279686,-0.0104847790724355
"167863","X4017","ENST00000229794.8",0.073225377304207,0.0451412978285769,-2.78264509030002
"167924","K.42","ENST00000229794.8",0.111686845836493,0.0847682654072953,1.71291689672732
"167927","UID.142","ENST00000229794.8",0.0550216360207543,0.0263859280213832,-8.31753178185442
"167955","X1806","ENST00000229795.7",0.0239343598523104,-0.0056433868188317,-29.2606397002497
"167972","X2593","ENST00000229795.7",0.0190155253302997,-0.0107112769324185,-35.649046511322
"167983","X3184","ENST00000229795.7",0.000528362490195152,-0.0297586568282837,0.192905440971215
"168004","X4017","ENST00000229795.7",0.0508892247263596,0.0221282921423099,-2.4040573376819
"168065","K.42","ENST00000229795.7",0.135528075505761,0.109331956581693,1.95548645056539
"168068","UID.142","ENST00000229795.7",0.0430400811569987,0.0140412957375138,-7.6237589298196
"231123","X1806","ENST00000242057.8",0.0149722148450953,-0.0148771119777804,-23.2603988937605
"231140","X2593","ENST00000242057.8",0.0233676215793065,-0.00622729897889629,-39.7193593208642
"231151","X3184","ENST00000242057.8",0.141934449405566,0.115932463023916,3.17777849286334
"231172","X4017","ENST00000242057.8",0.101079030053937,0.0738390006616321,-3.40536495054919
"231233","K.42","ENST00000242057.8",0.341949304240421,0.322008374065889,3.1219235388661
"231236","UID.142","ENST00000242057.8",0.110492601308861,0.0835378316515539,-12.2772313032309
