# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:21
# SEK
#----------------------------

"status","K-42","ENST00000393360.7"
"case","1.195207e+02","4.853988e+00"
"control","    7.496739","9.294291e+01"
"case","5.174287e+00","9.356113e+01"
"control","4.951549e+00","6.349486e+01"
"case","4.797215e+00","1.142213e+02"
"control","0.000000e+00","9.602168e+01"
"case","8.162464e-01","2.134454e+01"
"control","6.823173e+00","1.130849e+02"
"case","7.542741e-01","9.235162e+01"
"case","6.503319e-01","9.882823e+01"
"case","    0.000000","7.398754e+01"
"control","    1.347212","6.165664e+01"
"case","    0.000000","0.000000e+00"
"control","    0.000000","6.459261e+01"
"case","    3.847082","7.981466e+01"
"control","    0.000000","5.441890e+01"
"case","0.000000e+00","5.991249e+01"
"case","0.000000e+00","8.324210e+01"
"control","    1.09708","6.108839e+01"
"case","    0.000000","7.556138e+01"
"control","    9.405865","6.001616e+01"
"case","    0.000000","9.134055e+01"
"case","9.230309e-01","8.623340e+01"
"control","2.645818e+01","1.177860e+03"
"control","1.897874e+00","6.889444e+01"
"case","    6.587451","5.527263e+01"
"control","    4.031072","5.909076e+01"
"case","    0.000000","3.801203e+01"
"case","9.669471e-01","5.098457e+01"
"case","    0.000000","     62.8992"
"case","3.182118e+02","0.000000e+00"
"case","1.900022e+00","4.917428e+01"
"control","    1.181335","6.202721e+01"
"control","    0.000000","6.585569e+01"
"control","    0.000000","5.187236e+01"
"case","    0.000000","6.092570e+01"
"control","    0.000000","7.982344e+01"
"control","    3.140573","6.714970e+01"
"control","9.905626e-01","1.301985e+02"
"case","    0.000000","7.338041e+01"
"control","    0.000000","8.353293e+01"
"case","    1.380711","6.766290e+01"
"case","    0.000000","5.200845e+01"
"case","    0.000000","7.154626e+01"
"control","3.351250e+00","5.843788e+01"
"case","7.697282e-01","2.503579e+02"
"case","    9.722825","6.362290e+01"
"control","2.258711e+00","7.793102e+01"
"case","    1.083699","6.805459e+01"
"case","0.000000e+00","5.831661e+01"
"control","    6.591236","4.860361e+01"
"case","    0.000000","7.628007e+01"
"control","   31.620288","0.000000e+00"
"case","    0.000000","8.903497e+01"
"case","    1.106258","7.939657e+01"
"case","    1.080163","7.357262e+01"
"case","9.809206e-01","7.814417e+01"
"case","    0.000000","5.251207e+01"
