# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:20
# SEK
#----------------------------

"status","K-42","ENST00000405573.2"
"case","1.195207e+02","0.000000e+00"
"control","    7.496739","4.302913e+00"
"case","5.174287e+00","2.112671e+01"
"control","4.951549e+00","4.378956e+00"
"case","4.797215e+00","6.295664e+00"
"control","0.000000e+00","3.058015e+00"
"case","8.162464e-01","0.000000e+00"
"control","6.823173e+00","3.212638e+00"
"case","7.542741e-01","1.661000e+01"
"case","6.503319e-01","1.250990e+01"
"case","    0.000000","3.555245e+01"
"control","    1.347212","1.644177e+01"
"case","    0.000000","0.000000e+00"
"control","    0.000000","1.671809e+01"
"case","    3.847082","3.062656e+01"
"control","    0.000000","2.213650e+01"
"case","0.000000e+00","2.670798e+01"
"case","0.000000e+00","1.049900e+01"
"control","    1.09708","1.485934e+01"
"case","    0.000000","1.560507e+01"
"control","    9.405865","1.077213e+01"
"case","    0.000000","2.009492e+01"
"case","9.230309e-01","2.874447e+01"
"control","2.645818e+01","0.000000e+00"
"control","1.897874e+00","1.816996e+01"
"case","    6.587451","1.554543e+01"
"control","    4.031072","1.702615e+01"
"case","    0.000000","1.958195e+01"
"case","9.669471e-01","2.226087e+01"
"case","    0.000000","     26.9568"
"case","3.182118e+02","0.000000e+00"
"case","1.900022e+00","9.400966e+00"
"control","    1.181335","2.174980e+01"
"control","    0.000000","1.646392e+01"
"control","    0.000000","1.440899e+01"
"case","    0.000000","1.589366e+01"
"control","    0.000000","1.904878e+01"
"control","    3.140573","4.896332e+00"
"control","9.905626e-01","1.987764e+00"
"case","    0.000000","1.962499e+01"
"control","    0.000000","1.803552e+01"
"case","    1.380711","6.578337e+00"
"case","    0.000000","1.410399e+01"
"case","    0.000000","1.446148e+01"
"control","3.351250e+00","2.667816e+01"
"case","7.697282e-01","0.000000e+00"
"case","    9.722825","1.571860e+01"
"control","2.258711e+00","1.171895e+01"
"case","    1.083699","1.639870e+01"
"case","0.000000e+00","1.473936e+01"
"control","    6.591236","2.178783e+01"
"case","    0.000000","2.724288e+01"
"control","   31.620288","0.000000e+00"
"case","    0.000000","2.530468e+01"
"case","    1.106258","1.153625e+01"
"case","    1.080163","2.177149e+01"
"case","9.809206e-01","9.674993e+00"
"case","    0.000000","1.950448e+01"
