# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:10
# SEK
#----------------------------

"status","3184","ENST00000492120.1"
"case","1.713558e+01","3.397791e+01"
"control","    3.212888","1.282268e+02"
"case","1.121096e+01","1.260057e+02"
"control","2.122093e+00","1.445055e+02"
"case","1.599072e+00","1.358065e+02"
"control","0.000000e+00","1.192626e+02"
"case","2.856862e+00","0.000000e+00"
"control","0.000000e+00","1.085872e+02"
"case","7.542741e-01","1.023176e+02"
"case","1.300664e+00","9.695175e+01"
"case","    0.000000","7.687017e+01"
"control","    0.000000","6.782230e+01"
"case","   94.368152","4.529850e+00"
"control","    0.000000","1.170266e+02"
"case","    3.847082","9.744813e+01"
"control","    1.415779","6.548715e+01"
"case","1.817646e+00","1.154940e+02"
"case","1.110059e+01","1.162390e+02"
"control","    0.00000","1.007133e+02"
"case","    2.098674","9.198777e+01"
"control","    0.000000","1.523487e+02"
"case","    0.000000","1.680666e+02"
"case","1.846062e+00","1.230853e+02"
"control","0.000000e+00","1.323438e+01"
"control","4.744685e+00","1.249185e+02"
"case","    0.000000","1.105453e+02"
"control","    2.687381","1.061631e+02"
"case","    6.717306","6.796090e+01"
"case","0.000000e+00","1.091501e+02"
"case","    3.359339","     59.5296"
"case","1.394901e+01","0.000000e+00"
"case","9.500108e-01","9.400966e+01"
"control","    0.000000","5.477728e+01"
"control","    0.000000","7.134366e+01"
"control","    0.000000","1.642625e+02"
"case","    2.349239","9.447898e+01"
"control","    4.081724","1.415052e+02"
"control","    0.000000","1.783664e+02"
"control","6.636769e+01","2.564215e+02"
"case","    2.183691","9.215215e+01"
"control","    2.623048","1.423857e+02"
"case","    1.380711","8.645814e+01"
"case","    0.000000","1.145949e+02"
"case","    0.000000","9.057452e+01"
"control","0.000000e+00","1.124294e+02"
"case","1.955110e+02","0.000000e+00"
"case","    0.000000","1.235033e+02"
"control","0.000000e+00","1.107441e+02"
"case","    0.000000","1.131510e+02"
"case","8.339664e-01","8.651366e+01"
"control","    0.000000","9.217927e+01"
"case","    8.446444","1.044310e+02"
"control","    1.020009","2.452434e+02"
"case","    0.000000","7.778845e+01"
"case","    0.000000","1.404709e+02"
"case","    0.000000","9.609484e+01"
"case","9.809206e-01","1.555441e+02"
"case","    2.170539","1.005231e+02"
