# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:11
# SEK
#----------------------------

"status","K-42","ENST00000348549.9"
"case","1.195207e+02","0.000000e+00"
"control","    7.496739","3.958680e+01"
"case","5.174287e+00","3.697174e+01"
"control","4.951549e+00","3.576147e+01"
"case","4.797215e+00","4.137150e+01"
"control","0.000000e+00","2.874534e+01"
"case","8.162464e-01","7.114846e+00"
"control","6.823173e+00","2.827122e+01"
"case","7.542741e-01","1.395240e+01"
"case","6.503319e-01","1.939035e+01"
"case","    0.000000","2.017842e+01"
"control","    1.347212","3.904921e+01"
"case","    0.000000","0.000000e+00"
"control","    0.000000","3.267626e+01"
"case","    3.847082","2.784232e+01"
"control","    0.000000","3.689417e+01"
"case","0.000000e+00","2.526430e+01"
"case","0.000000e+00","3.449673e+01"
"control","    1.09708","4.953113e+01"
"case","    0.000000","3.285277e+01"
"control","    9.405865","3.539414e+01"
"case","    0.000000","3.836303e+01"
"case","9.230309e-01","2.137409e+01"
"control","2.645818e+01","0.000000e+00"
"control","1.897874e+00","4.996740e+01"
"case","    6.587451","3.454539e+01"
"control","    4.031072","1.702615e+01"
"case","    0.000000","3.225263e+01"
"case","9.669471e-01","2.800561e+01"
"case","    0.000000","     24.7104"
"case","3.182118e+02","0.000000e+00"
"case","1.900022e+00","3.688071e+01"
"control","    1.181335","6.041612e+01"
"control","    0.000000","3.658649e+00"
"control","    0.000000","9.365843e+01"
"case","    0.000000","2.737241e+01"
"control","    0.000000","2.539837e+01"
"control","    3.140573","2.168376e+01"
"control","9.905626e-01","0.000000e+00"
"case","    0.000000","3.498369e+01"
"control","    0.000000","3.322333e+01"
"case","    1.380711","3.477121e+01"
"case","    0.000000","3.525997e+01"
"case","    0.000000","3.577313e+01"
"control","3.351250e+00","4.065244e+01"
"case","7.697282e-01","1.472694e+01"
"case","    9.722825","2.919169e+01"
"control","2.258711e+00","3.750064e+01"
"case","    1.083699","3.279739e+01"
"case","0.000000e+00","3.332378e+01"
"control","    6.591236","3.435773e+01"
"case","    0.000000","2.724288e+01"
"control","   31.620288","0.000000e+00"
"case","    0.000000","1.874420e+01"
"case","    1.106258","2.239390e+01"
"case","    1.080163","3.228186e+01"
"case","9.809206e-01","4.242112e+01"
"case","    0.000000","2.550586e+01"
