# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:09
# SEK
#----------------------------

"status","4017","ENST00000504290.5"
"case","1.370846e+01","1.650356e+02"
"control","   13.922515","6.540427e+01"
"case","8.623812e+00","6.262560e+01"
"control","1.556201e+01","8.757912e+01"
"case","1.918886e+01","7.734673e+01"
"control","0.000000e+00","1.345527e+02"
"case","1.661061e+02","1.067227e+03"
"control","9.097564e+00","1.143699e+02"
"case","1.508548e+00","3.601049e+02"
"case","0.000000e+00","3.440223e+02"
"case","    0.000000","4.400817e+02"
"control","    0.000000","4.192651e+02"
"case","   21.602348","1.811940e+01"
"control","    3.131746","3.146040e+02"
"case","    0.000000","5.475657e+02"
"control","   11.326228","3.394264e+02"
"case","2.726470e+00","3.342107e+02"
"case","9.250488e-01","2.272284e+02"
"control","    0.00000","2.567364e+02"
"case","    0.000000","2.849978e+02"
"control","   13.586250","2.246759e+02"
"case","    0.000000","2.676278e+02"
"case","0.000000e+00","2.874447e+02"
"control","7.116339e+01","0.000000e+00"
"control","5.693622e+00","3.210027e+02"
"case","    0.000000","3.385449e+02"
"control","   10.749525","3.765784e+02"
"case","    1.679327","4.308030e+02"
"case","4.834736e+00","2.319439e+02"
"case","    0.000000","    302.1408"
"case","0.000000e+00","5.753181e+01"
"case","1.900022e+00","2.205611e+02"
"control","    1.181335","4.406349e+02"
"control","    0.000000","1.692125e+02"
"control","    1.927097","3.717519e+02"
"case","    0.000000","2.136814e+02"
"control","    1.020431","3.437851e+02"
"control","    0.000000","2.867852e+02"
"control","1.981125e+00","2.405194e+02"
"case","    1.091845","2.884021e+02"
"control","    0.000000","2.610404e+02"
"case","    0.000000","2.791094e+02"
"case","    0.000000","3.129322e+02"
"case","    8.700326","3.288083e+02"
"control","6.702500e+00","3.036229e+02"
"case","2.771022e+01","8.836162e+01"
"case","    3.240942","2.859288e+02"
"control","7.529037e-01","3.023489e+02"
"case","    0.000000","2.123631e+02"
"case","3.335866e+00","1.973793e+02"
"control","    9.227730","2.865937e+02"
"case","    0.000000","3.723194e+02"
"control","    7.140065","0.000000e+00"
"case","    0.000000","2.717910e+02"
"case","    0.000000","2.755129e+02"
"case","    1.080163","3.048008e+02"
"case","4.904603e+00","2.976921e+02"
"case","    3.617565","2.515578e+02"
