# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:10
# SEK
#----------------------------

"status","3184","ENST00000398822.7"
"case","1.713558e+01","0.000000e+00"
"control","    3.212888","5.765903e+01"
"case","1.121096e+01","3.998984e+01"
"control","2.122093e+00","2.992286e+01"
"case","1.599072e+00","4.946593e+01"
"control","0.000000e+00","3.547298e+01"
"case","2.856862e+00","7.114846e+00"
"control","0.000000e+00","4.433441e+01"
"case","7.542741e-01","4.451481e+01"
"case","1.300664e+00","3.440223e+01"
"case","    0.000000","6.341789e+01"
"control","    0.000000","7.193275e+01"
"case","   94.368152","4.529850e+00"
"control","    0.000000","1.003085e+02"
"case","    3.847082","4.826003e+01"
"control","    1.415779","6.640950e+01"
"case","1.817646e+00","5.919066e+01"
"case","1.110059e+01","7.274310e+01"
"control","    0.00000","7.677325e+01"
"case","    2.098674","7.556138e+01"
"control","    0.000000","7.078829e+01"
"case","    0.000000","7.215903e+01"
"case","1.846062e+00","5.232967e+01"
"control","0.000000e+00","0.000000e+00"
"control","4.744685e+00","8.630732e+01"
"case","    0.000000","7.340896e+01"
"control","    2.687381","5.909076e+01"
"case","    6.717306","8.063157e+01"
"case","0.000000e+00","7.396354e+01"
"case","    3.359339","     64.0224"
"case","1.394901e+01","0.000000e+00"
"case","9.500108e-01","8.171609e+01"
"control","    0.000000","7.733263e+01"
"control","    0.000000","8.049029e+01"
"control","    0.000000","1.123901e+02"
"case","    2.349239","8.035128e+01"
"control","    4.081724","5.079674e+01"
"control","    0.000000","5.385965e+01"
"control","6.636769e+01","1.987764e+00"
"case","    2.183691","8.361954e+01"
"control","    2.623048","5.790351e+01"
"case","    1.380711","7.706052e+01"
"case","    0.000000","6.699394e+01"
"case","    0.000000","6.545721e+01"
"control","0.000000e+00","5.780268e+01"
"case","1.955110e+02","0.000000e+00"
"case","    0.000000","6.661692e+01"
"control","0.000000e+00","4.453201e+01"
"case","    0.000000","5.575557e+01"
"case","8.339664e-01","6.023914e+01"
"control","    0.000000","5.530756e+01"
"case","    8.446444","5.266957e+01"
"control","    1.020009","1.783588e+01"
"case","    0.000000","6.279308e+01"
"case","    0.000000","4.614502e+01"
"case","    0.000000","7.282187e+01"
"case","9.809206e-01","6.474803e+01"
"case","    2.170539","6.501495e+01"
