# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:23
# SEK
#----------------------------

"status","4017","ENST00000459755.1"
"case","1.370846e+01","0.000000e+00"
"control","   13.922515","3.442330e+00"
"case","8.623812e+00","0.000000e+00"
"control","1.556201e+01","1.459652e+00"
"case","1.918886e+01","3.597522e+00"
"control","0.000000e+00","1.834809e+00"
"case","1.661061e+02","0.000000e+00"
"control","9.097564e+00","1.991836e+01"
"case","1.508548e+00","2.524721e+01"
"case","0.000000e+00","3.502773e+01"
"case","    0.000000","2.402193e+01"
"control","    0.000000","1.952460e+01"
"case","   21.602348","0.000000e+00"
"control","    3.131746","2.203748e+01"
"case","    0.000000","1.206501e+01"
"control","   11.326228","1.014590e+01"
"case","2.726470e+00","1.082756e+01"
"case","9.250488e-01","1.874822e+01"
"control","    0.00000","3.054420e+01"
"case","    0.000000","1.231979e+01"
"control","   13.586250","1.308044e+01"
"case","    0.000000","2.100833e+01"
"case","0.000000e+00","2.284817e+01"
"control","7.116339e+01","0.000000e+00"
"control","5.693622e+00","2.044121e+01"
"case","    0.000000","8.636348e+00"
"control","   10.749525","1.201846e+01"
"case","    1.679327","4.607518e+00"
"case","4.834736e+00","7.180926e+00"
"case","    0.000000","     14.6016"
"case","0.000000e+00","0.000000e+00"
"case","1.900022e+00","1.301672e+01"
"control","    1.181335","4.833289e+00"
"control","    0.000000","4.481845e+01"
"control","    1.927097","4.322697e+00"
"case","    0.000000","1.765962e+01"
"control","    1.020431","2.267711e+01"
"control","    0.000000","2.797904e+00"
"control","1.981125e+00","8.050444e+01"
"case","    1.091845","1.535869e+01"
"control","    0.000000","2.183247e+01"
"case","    0.000000","2.443382e+01"
"case","    0.000000","1.851148e+01"
"case","    8.700326","1.522261e+01"
"control","6.702500e+00","3.811166e+00"
"case","2.771022e+01","0.000000e+00"
"case","    3.240942","1.422159e+01"
"control","7.529037e-01","1.640653e+01"
"case","    0.000000","1.065915e+01"
"case","3.335866e+00","5.126735e+00"
"control","    9.227730","1.256990e+01"
"case","    0.000000","3.995623e+01"
"control","    7.140065","0.000000e+00"
"case","    0.000000","1.218373e+01"
"case","    0.000000","8.821841e+00"
"case","    1.080163","1.126111e+01"
"case","4.904603e+00","2.232691e+01"
"case","    3.617565","1.100253e+01"
