# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:08
# SEK
#----------------------------

"status","K-42","ENST00000643513.1"
"case","1.195207e+02","0.000000e+00"
"control","    7.496739","0.000000e+00"
"case","5.174287e+00","0.000000e+00"
"control","4.951549e+00","0.000000e+00"
"case","4.797215e+00","0.000000e+00"
"control","0.000000e+00","0.000000e+00"
"case","8.162464e-01","0.000000e+00"
"control","6.823173e+00","0.000000e+00"
"case","7.542741e-01","6.644001e-01"
"case","6.503319e-01","0.000000e+00"
"case","    0.000000","0.000000e+00"
"control","    1.347212","0.000000e+00"
"case","    0.000000","0.000000e+00"
"control","    0.000000","7.599131e-01"
"case","    3.847082","3.712310e+00"
"control","    0.000000","9.223542e-01"
"case","0.000000e+00","0.000000e+00"
"case","0.000000e+00","0.000000e+00"
"control","    1.09708","0.000000e+00"
"case","    0.000000","0.000000e+00"
"control","    9.405865","7.694379e-01"
"case","    0.000000","0.000000e+00"
"case","9.230309e-01","0.000000e+00"
"control","2.645818e+01","0.000000e+00"
"control","1.897874e+00","0.000000e+00"
"case","    6.587451","0.000000e+00"
"control","    4.031072","1.001538e+00"
"case","    0.000000","0.000000e+00"
"case","9.669471e-01","0.000000e+00"
"case","    0.000000","      1.1232"
"case","3.182118e+02","6.392423e+00"
"case","1.900022e+00","0.000000e+00"
"control","    1.181335","0.000000e+00"
"control","    0.000000","0.000000e+00"
"control","    0.000000","0.000000e+00"
"case","    0.000000","0.000000e+00"
"control","    0.000000","0.000000e+00"
"control","    3.140573","1.398952e+00"
"control","9.905626e-01","0.000000e+00"
"case","    0.000000","0.000000e+00"
"control","    0.000000","0.000000e+00"
"case","    1.380711","0.000000e+00"
"case","    0.000000","0.000000e+00"
"case","    0.000000","0.000000e+00"
"control","3.351250e+00","0.000000e+00"
"case","7.697282e-01","0.000000e+00"
"case","    9.722825","0.000000e+00"
"control","2.258711e+00","0.000000e+00"
"case","    1.083699","0.000000e+00"
"case","0.000000e+00","1.281684e+00"
"control","    6.591236","8.379933e-01"
"case","    0.000000","0.000000e+00"
"control","   31.620288","0.000000e+00"
"case","    0.000000","0.000000e+00"
"case","    1.106258","6.786032e-01"
"case","    1.080163","0.000000e+00"
"case","9.809206e-01","0.000000e+00"
"case","    0.000000","0.000000e+00"
