# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:13
# SEK
#----------------------------

"status","K-42","ENST00000462856.6"
"case","1.195207e+02","1.164957e+02"
"control","    7.496739","1.230633e+02"
"case","5.174287e+00","1.063881e+02"
"control","4.951549e+00","1.766179e+02"
"case","4.797215e+00","8.364239e+01"
"control","0.000000e+00","1.853157e+02"
"case","8.162464e-01","4.624650e+02"
"control","6.823173e+00","1.574193e+02"
"case","7.542741e-01","3.840233e+02"
"case","6.503319e-01","4.122013e+02"
"case","    0.000000","4.400817e+02"
"control","    1.347212","3.452772e+02"
"case","    0.000000","6.341790e+01"
"control","    0.000000","2.986459e+02"
"case","    3.847082","4.770318e+02"
"control","    0.000000","3.551064e+02"
"case","0.000000e+00","3.897921e+02"
"case","0.000000e+00","3.277189e+02"
"control","    1.09708","3.838663e+02"
"case","    0.000000","4.073744e+02"
"control","    9.405865","3.108529e+02"
"case","    0.000000","3.498343e+02"
"case","9.230309e-01","4.002114e+02"
"control","2.645818e+01","0.000000e+00"
"control","1.897874e+00","3.316018e+02"
"case","    6.587451","5.034991e+02"
"control","    4.031072","4.546984e+02"
"case","    0.000000","5.770917e+02"
"case","9.669471e-01","3.583282e+02"
"case","    0.000000","    530.1504"
"case","3.182118e+02","6.392423e+00"
"case","1.900022e+00","3.015541e+02"
"control","    1.181335","5.324674e+02"
"control","    0.000000","1.884204e+02"
"control","    0.000000","5.432189e+02"
"case","    0.000000","3.381818e+02"
"control","    0.000000","3.991172e+02"
"control","    3.140573","3.385464e+02"
"control","9.905626e-01","3.746935e+02"
"case","    0.000000","3.148532e+02"
"control","    0.000000","3.569134e+02"
"case","    1.380711","3.636881e+02"
"case","    0.000000","2.838427e+02"
"case","    0.000000","2.740069e+02"
"control","3.351250e+00","3.029877e+02"
"case","7.697282e-01","1.472694e+01"
"case","    9.722825","3.690128e+02"
"control","2.258711e+00","3.755924e+02"
"case","    1.083699","2.509000e+02"
"case","0.000000e+00","2.589001e+02"
"control","    6.591236","3.519572e+02"
"case","    0.000000","4.758423e+02"
"control","   31.620288","4.904867e+01"
"case","    0.000000","3.542655e+02"
"case","    1.106258","4.119121e+02"
"case","    1.080163","3.108068e+02"
"case","9.809206e-01","2.924825e+02"
"case","    0.000000","3.125719e+02"
