# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:21
# SEK
#----------------------------

"status","4017","ENST00000484135.1"
"case","1.370846e+01","4.028810e+02"
"control","   13.922515","7.409615e+02"
"case","8.623812e+00","5.907933e+02"
"control","1.556201e+01","5.108782e+02"
"case","1.918886e+01","4.937599e+02"
"control","0.000000e+00","5.143582e+02"
"case","1.661061e+02","0.000000e+00"
"control","9.097564e+00","5.699221e+02"
"case","1.508548e+00","5.049441e+02"
"case","0.000000e+00","5.466827e+02"
"case","    0.000000","1.470142e+02"
"control","    0.000000","2.394333e+02"
"case","   21.602348","1.404254e+02"
"control","    3.131746","3.860359e+02"
"case","    0.000000","3.489571e+02"
"control","   11.326228","3.375816e+02"
"case","2.726470e+00","3.674152e+02"
"case","9.250488e-01","3.592159e+02"
"control","    0.00000","4.342229e+02"
"case","    0.000000","3.309917e+02"
"control","   13.586250","4.362713e+02"
"case","    0.000000","3.982448e+02"
"case","0.000000e+00","4.090559e+02"
"control","7.116339e+01","1.323438e+01"
"control","5.693622e+00","4.368362e+02"
"case","    0.000000","1.675452e+02"
"control","   10.749525","3.495369e+02"
"case","    1.679327","1.347699e+02"
"case","4.834736e+00","4.588612e+02"
"case","    0.000000","     97.7184"
"case","0.000000e+00","1.054750e+02"
"case","1.900022e+00","4.411222e+02"
"control","    1.181335","6.927715e+01"
"control","    0.000000","1.500046e+02"
"control","    1.927097","4.754966e+01"
"case","    0.000000","3.743840e+02"
"control","    1.020431","4.063739e+02"
"control","    0.000000","2.567077e+02"
"control","1.981125e+00","4.363142e+02"
"case","    1.091845","3.575162e+02"
"control","    0.000000","2.458526e+02"
"case","    0.000000","2.697118e+02"
"case","    0.000000","2.706203e+02"
"case","    8.700326","4.170995e+02"
"control","6.702500e+00","5.202242e+02"
"case","2.771022e+01","0.000000e+00"
"case","    3.240942","3.181145e+02"
"control","7.529037e-01","2.988332e+02"
"case","    0.000000","2.927167e+02"
"case","3.335866e+00","4.473077e+02"
"control","    9.227730","2.715098e+02"
"case","    0.000000","1.679978e+02"
"control","    7.140065","1.605229e+02"
"case","    0.000000","1.443304e+02"
"case","    0.000000","3.162291e+02"
"case","    1.080163","5.307739e+02"
"case","4.904603e+00","3.237401e+02"
"case","    3.617565","4.240975e+02"
