# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:14
# SEK
#----------------------------

"status","1806","ENST00000527389.2"
"case","0.000000e+00","0.000000e+00"
"control","    0.000000","8.605825e-01"
"case","2.587144e+00","2.263576e+00"
"control","0.000000e+00","2.189478e+00"
"case","0.000000e+00","2.698142e+00"
"control","0.000000e+00","3.669618e+00"
"case","0.000000e+00","0.000000e+00"
"control","0.000000e+00","1.927583e+00"
"case","7.542741e-01","2.657601e+00"
"case","1.300664e+00","7.505942e+00"
"case","    8.529401","2.786544e+01"
"control","    1.347212","1.644177e+01"
"case","    0.000000","0.000000e+00"
"control","    0.000000","9.118957e+00"
"case","    2.564721","1.484924e+01"
"control","    1.415779","4.611771e+00"
"case","0.000000e+00","1.732409e+01"
"case","9.250488e-01","1.274879e+01"
"control","    0.00000","1.733590e+01"
"case","    2.098674","3.367409e+01"
"control","    0.000000","8.463817e+00"
"case","    0.000000","1.644130e+01"
"case","1.846062e+00","1.621483e+01"
"control","0.000000e+00","0.000000e+00"
"control","9.489369e-01","1.287039e+01"
"case","    0.000000","7.772714e+00"
"control","    0.000000","2.103230e+01"
"case","    1.679327","1.497443e+01"
"case","0.000000e+00","2.010659e+01"
"case","    0.000000","     17.9712"
"case","0.000000e+00","0.000000e+00"
"case","0.000000e+00","8.677815e+00"
"control","    2.362669","1.772206e+01"
"control","    0.000000","3.658649e+00"
"control","    0.000000","3.602247e+01"
"case","    0.000000","1.589366e+01"
"control","    0.000000","1.632752e+01"
"control","    1.570287","4.196856e+00"
"control","0.000000e+00","4.969410e+00"
"case","    3.275536","2.047826e+01"
"control","    0.000000","1.613704e+01"
"case","    1.380711","6.578337e+00"
"case","    0.000000","1.322249e+01"
"case","    1.242904","1.293922e+01"
"control","0.000000e+00","8.257526e+00"
"case","0.000000e+00","0.000000e+00"
"case","    1.080314","1.197608e+01"
"control","0.000000e+00","1.054706e+01"
"case","    1.083699","1.065915e+01"
"case","1.667933e+00","1.217600e+01"
"control","    0.000000","1.340789e+01"
"case","    1.055806","2.361050e+01"
"control","    0.000000","0.000000e+00"
"case","    0.000000","2.155583e+01"
"case","    0.000000","1.017905e+01"
"case","    1.080163","1.501482e+01"
"case","9.809206e-01","1.414037e+01"
"case","    0.723513","8.501954e+00"
