# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:17
# SEK
#----------------------------

"status","K-42","ENST00000325437.9"
"case","1.195207e+02","5.921865e+02"
"control","    7.496739","5.189313e+02"
"case","5.174287e+00","5.779664e+02"
"control","4.951549e+00","5.794818e+02"
"case","4.797215e+00","6.025850e+02"
"control","0.000000e+00","5.822461e+02"
"case","8.162464e-01","3.699720e+02"
"control","6.823173e+00","6.110438e+02"
"case","7.542741e-01","4.278737e+02"
"case","6.503319e-01","4.697468e+02"
"case","    0.000000","7.148926e+02"
"control","    1.347212","5.857381e+02"
"case","    0.000000","8.606716e+01"
"control","    0.000000","7.713118e+02"
"case","    3.847082","7.777289e+02"
"control","    0.000000","8.061376e+02"
"case","0.000000e+00","6.229456e+02"
"case","0.000000e+00","5.354492e+02"
"control","    1.09708","5.068686e+02"
"case","    0.000000","5.010048e+02"
"control","    9.405865","4.955180e+02"
"case","    0.000000","4.904987e+02"
"case","9.230309e-01","4.739152e+02"
"control","2.645818e+01","0.000000e+00"
"control","1.897874e+00","5.057306e+02"
"case","    6.587451","6.321807e+02"
"control","    4.031072","4.036199e+02"
"case","    0.000000","6.116481e+02"
"case","9.669471e-01","4.164937e+02"
"case","    0.000000","    620.0064"
"case","3.182118e+02","4.474696e+01"
"case","1.900022e+00","3.839933e+02"
"control","    1.181335","6.581329e+02"
"control","    0.000000","2.945213e+02"
"control","    0.000000","3.818382e+02"
"case","    0.000000","3.796819e+02"
"control","    0.000000","4.916399e+02"
"control","    3.140573","5.595808e+02"
"control","9.905626e-01","3.816507e+02"
"case","    0.000000","5.622988e+02"
"control","    0.000000","5.277763e+02"
"case","    1.380711","5.741949e+02"
"case","    0.000000","4.777726e+02"
"case","    0.000000","6.081432e+02"
"control","3.351250e+00","5.291169e+02"
"case","7.697282e-01","1.472694e+01"
"case","    9.722825","5.359294e+02"
"control","2.258711e+00","5.689551e+02"
"case","    1.083699","4.632632e+02"
"case","0.000000e+00","4.710188e+02"
"control","    6.591236","5.296118e+02"
"case","    0.000000","6.456563e+02"
"control","   31.620288","3.790125e+02"
"case","    0.000000","5.567029e+02"
"case","    1.106258","6.134573e+02"
"case","    1.080163","6.005928e+02"
"case","9.809206e-01","5.351015e+02"
"case","    0.000000","4.676075e+02"
