# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:10
# SEK
#----------------------------

"status","UID-142","ENST00000527891.5"
"case","4.283895e-01","0.000000e+00"
"control","    1.070963","5.765903e+01"
"case","2.069715e+01","4.678057e+01"
"control","2.122093e+00","4.889834e+01"
"case","8.794895e+00","3.687460e+01"
"control","0.000000e+00","5.932550e+01"
"case","4.326106e+01","1.636415e+02"
"control","7.581303e+00","7.003552e+01"
"case","7.542741e-01","5.115881e+01"
"case","9.104646e+00","6.442600e+01"
"case","    8.529401","7.014403e+01"
"control","    0.000000","6.268425e+01"
"case","    0.000000","0.000000e+00"
"control","    0.000000","3.419609e+01"
"case","   10.258884","5.382849e+01"
"control","    9.910450","5.257419e+01"
"case","3.635293e+00","3.753554e+01"
"case","1.665088e+01","4.274594e+01"
"control","    2.19416","7.182014e+01"
"case","    7.345359","6.734819e+01"
"control","    3.135288","6.078559e+01"
"case","    7.922413","5.845795e+01"
"case","5.538186e+00","8.770748e+01"
"control","0.000000e+00","0.000000e+00"
"control","3.795748e+00","2.876911e+01"
"case","    1.317490","4.663628e+01"
"control","    2.687381","4.907538e+01"
"case","    6.717306","2.764511e+01"
"case","1.257031e+01","5.888359e+01"
"case","    0.000000","     62.8992"
"case","1.743626e+00","7.351287e+01"
"case","8.550097e+00","5.495949e+01"
"control","    0.000000","4.269406e+01"
"control","    1.024218","8.231961e+01"
"control","    3.854194","3.602247e+01"
"case","    0.000000","5.297887e+01"
"control","    8.163448","4.626131e+01"
"control","    4.710860","4.966280e+01"
"control","9.905626e-01","1.421251e+02"
"case","    7.642918","5.887498e+01"
"control","    5.246095","6.170046e+01"
"case","    8.284268","5.262670e+01"
"case","    3.707606","5.641595e+01"
"case","    4.971615","4.262330e+01"
"control","8.378125e-01","2.477258e+01"
"case","7.697282e-01","0.000000e+00"
"case","   18.365336","4.491028e+01"
"control","1.505807e+00","8.847808e+01"
"case","    1.083699","5.821537e+01"
"case","5.837765e+00","5.575325e+01"
"control","    6.591236","6.033552e+01"
"case","    2.111611","7.718816e+01"
"control","    0.000000","4.458970e+00"
"case","    1.262759","4.967214e+01"
"case","    5.531291","1.004333e+02"
"case","    9.721465","4.504446e+01"
"case","3.923682e+00","5.284034e+01"
"case","    1.447026","4.651069e+01"
