# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:22
# SEK
#----------------------------

"status","K-42","ENST00000494977.1"
"case","1.195207e+02","4.853988e+00"
"control","    7.496739","3.313243e+02"
"case","5.174287e+00","3.659448e+02"
"control","4.951549e+00","1.123932e+02"
"case","4.797215e+00","1.681842e+02"
"control","0.000000e+00","1.186510e+02"
"case","8.162464e-01","0.000000e+00"
"control","6.823173e+00","1.542066e+02"
"case","7.542741e-01","1.156056e+02"
"case","6.503319e-01","1.194696e+02"
"case","    0.000000","9.128333e+01"
"control","    1.347212","9.762301e+01"
"case","    0.000000","2.038433e+02"
"control","    0.000000","1.132271e+02"
"case","    3.847082","6.682158e+01"
"control","    0.000000","7.378834e+01"
"case","0.000000e+00","1.227123e+02"
"case","0.000000e+00","1.357371e+02"
"control","    1.09708","1.089685e+02"
"case","    0.000000","9.445172e+01"
"control","    9.405865","1.808179e+02"
"case","    0.000000","1.105221e+02"
"case","9.230309e-01","1.326668e+02"
"control","2.645818e+01","6.617188e+01"
"control","1.897874e+00","1.589872e+02"
"case","    6.587451","1.329998e+02"
"control","    4.031072","6.309691e+01"
"case","    0.000000","5.068270e+01"
"case","9.669471e-01","2.053745e+02"
"case","    0.000000","    116.8128"
"case","3.182118e+02","1.598106e+01"
"case","1.900022e+00","1.504155e+02"
"control","    1.181335","5.719392e+01"
"control","    0.000000","1.893351e+02"
"control","    0.000000","1.152719e+02"
"case","    0.000000","1.386280e+02"
"control","    0.000000","1.115714e+02"
"control","    3.140573","1.832627e+02"
"control","9.905626e-01","3.577975e+01"
"case","    0.000000","1.322554e+02"
"control","    0.000000","1.177055e+02"
"case","    1.380711","1.137113e+02"
"case","    0.000000","1.410399e+02"
"case","    0.000000","1.248254e+02"
"control","3.351250e+00","3.201379e+02"
"case","7.697282e-01","2.945387e+01"
"case","    9.722825","1.392219e+02"
"control","2.258711e+00","9.375161e+01"
"case","    1.083699","1.738262e+02"
"case","0.000000e+00","2.069919e+02"
"control","    6.591236","1.273750e+02"
"case","    0.000000","6.901530e+01"
"control","   31.620288","0.000000e+00"
"case","    0.000000","1.340211e+02"
"case","    1.106258","1.268988e+02"
"case","    1.080163","1.005993e+02"
"case","9.809206e-01","1.533114e+02"
"case","    0.000000","1.415325e+02"
