# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:12
# SEK
#----------------------------

"status","4017","ENST00000475440.1"
"case","1.370846e+01","0.000000e+00"
"control","   13.922515","8.433709e+01"
"case","8.623812e+00","8.601588e+01"
"control","1.556201e+01","5.400712e+01"
"case","1.918886e+01","1.025294e+02"
"control","0.000000e+00","9.602168e+01"
"case","1.661061e+02","0.000000e+00"
"control","9.097564e+00","6.232519e+01"
"case","1.508548e+00","6.378241e+01"
"case","0.000000e+00","6.755347e+01"
"case","    0.000000","7.014403e+01"
"control","    0.000000","3.802159e+01"
"case","   21.602348","0.000000e+00"
"control","    3.131746","8.359044e+01"
"case","    0.000000","5.939696e+01"
"control","   11.326228","3.873888e+01"
"case","2.726470e+00","7.362740e+01"
"case","9.250488e-01","8.699174e+01"
"control","    0.00000","8.915603e+01"
"case","    0.000000","5.667103e+01"
"control","   13.586250","8.540761e+01"
"case","    0.000000","1.086953e+02"
"case","0.000000e+00","6.485931e+01"
"control","7.116339e+01","0.000000e+00"
"control","5.693622e+00","6.738028e+01"
"case","    0.000000","5.181809e+01"
"control","   10.749525","6.610153e+01"
"case","    1.679327","4.146767e+01"
"case","4.834736e+00","5.888359e+01"
"case","    0.000000","     42.6816"
"case","0.000000e+00","8.949393e+01"
"case","1.900022e+00","6.363731e+01"
"control","    1.181335","3.061083e+01"
"control","    0.000000","7.866096e+01"
"control","    1.927097","5.187236e+01"
"case","    0.000000","6.798955e+01"
"control","    1.020431","8.163761e+01"
"control","    0.000000","1.112167e+02"
"control","1.981125e+00","9.541267e+01"
"case","    1.091845","7.935324e+01"
"control","    0.000000","1.101116e+02"
"case","    0.000000","6.860266e+01"
"case","    0.000000","6.611244e+01"
"case","    8.700326","5.480139e+01"
"control","6.702500e+00","7.939929e+01"
"case","2.771022e+01","0.000000e+00"
"case","    3.240942","6.811393e+01"
"control","7.529037e-01","7.968886e+01"
"case","    0.000000","8.117354e+01"
"case","3.335866e+00","5.895746e+01"
"control","    9.227730","6.284950e+01"
"case","    0.000000","6.356672e+01"
"control","    7.140065","0.000000e+00"
"case","    0.000000","4.967214e+01"
"case","    0.000000","8.686121e+01"
"case","    1.080163","6.531446e+01"
"case","4.904603e+00","8.633070e+01"
"case","    3.617565","7.001610e+01"
