# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:20
# SEK
#----------------------------

"status","K-42","ENST00000491588.1"
"case","1.195207e+02","4.853988e+00"
"control","    7.496739","6.970718e+01"
"case","5.174287e+00","4.904414e+01"
"control","4.951549e+00","6.349486e+01"
"case","4.797215e+00","3.057894e+01"
"control","0.000000e+00","5.320947e+01"
"case","8.162464e-01","0.000000e+00"
"control","6.823173e+00","3.919419e+01"
"case","7.542741e-01","1.940048e+02"
"case","6.503319e-01","1.645052e+02"
"case","    0.000000","1.008921e+02"
"control","    1.347212","1.757214e+02"
"case","    0.000000","0.000000e+00"
"control","    0.000000","1.838990e+02"
"case","    3.847082","1.197220e+02"
"control","    0.000000","1.531108e+02"
"case","0.000000e+00","1.638571e+02"
"case","0.000000e+00","2.212290e+02"
"control","    1.09708","1.832652e+02"
"case","    0.000000","1.404456e+02"
"control","    9.405865","1.423460e+02"
"case","    0.000000","1.379242e+02"
"case","9.230309e-01","1.223482e+02"
"control","2.645818e+01","0.000000e+00"
"control","1.897874e+00","2.165254e+02"
"case","    6.587451","1.770451e+02"
"control","    4.031072","1.752692e+02"
"case","    0.000000","2.038827e+02"
"case","9.669471e-01","1.687518e+02"
"case","    0.000000","    146.0160"
"case","3.182118e+02","2.876590e+01"
"case","1.900022e+00","2.321315e+02"
"control","    1.181335","2.094425e+02"
"control","    0.000000","2.222629e+02"
"control","    0.000000","1.829942e+02"
"case","    0.000000","1.942558e+02"
"control","    0.000000","1.523902e+02"
"control","    3.140573","1.370973e+02"
"control","9.905626e-01","3.389137e+02"
"case","    0.000000","1.663858e+02"
"control","    0.000000","1.167563e+02"
"case","    1.380711","1.682175e+02"
"case","    0.000000","2.168488e+02"
"case","    0.000000","1.446148e+02"
"control","3.351250e+00","1.524466e+02"
"case","7.697282e-01","0.000000e+00"
"case","    9.722825","1.684136e+02"
"control","2.258711e+00","1.236349e+02"
"case","    1.083699","1.762860e+02"
"case","0.000000e+00","1.800766e+02"
"control","    6.591236","1.960904e+02"
"case","    0.000000","1.244092e+02"
"control","   31.620288","0.000000e+00"
"case","    0.000000","2.211816e+02"
"case","    1.106258","1.350420e+02"
"case","    1.080163","1.659138e+02"
"case","9.809206e-01","1.748941e+02"
"case","    0.000000","1.545355e+02"
