# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:09
# SEK
#----------------------------

"status","UID-142","ENST00000626462.2"
"case","4.283895e-01","0.000000e+00"
"control","    1.070963","0.000000e+00"
"case","2.069715e+01","0.000000e+00"
"control","2.122093e+00","0.000000e+00"
"case","8.794895e+00","8.993805e-01"
"control","0.000000e+00","0.000000e+00"
"case","4.326106e+01","7.114846e+00"
"control","7.581303e+00","0.000000e+00"
"case","7.542741e-01","6.644001e-01"
"case","9.104646e+00","0.000000e+00"
"case","    8.529401","0.000000e+00"
"control","    0.000000","0.000000e+00"
"case","    0.000000","0.000000e+00"
"control","    0.000000","1.519826e+00"
"case","   10.258884","9.280774e-01"
"control","    9.910450","9.223542e-01"
"case","3.635293e+00","0.000000e+00"
"case","1.665088e+01","1.499858e+00"
"control","    2.19416","8.255188e-01"
"case","    7.345359","0.000000e+00"
"control","    3.135288","0.000000e+00"
"case","    7.922413","9.134055e-01"
"case","5.538186e+00","1.474075e+00"
"control","0.000000e+00","0.000000e+00"
"control","3.795748e+00","3.785409e+00"
"case","    1.317490","0.000000e+00"
"control","    2.687381","0.000000e+00"
"case","    6.717306","1.151880e+00"
"case","1.257031e+01","1.436185e+00"
"case","    0.000000","      1.1232"
"case","1.743626e+00","0.000000e+00"
"case","8.550097e+00","2.169454e+00"
"control","    0.000000","8.055482e-01"
"control","    1.024218","2.743987e+00"
"control","    3.854194","1.440899e+00"
"case","    0.000000","2.648943e+00"
"control","    8.163448","1.814169e+00"
"control","    4.710860","6.994760e-01"
"control","9.905626e-01","0.000000e+00"
"case","    7.642918","1.706521e+00"
"control","    5.246095","0.000000e+00"
"case","    8.284268","0.000000e+00"
"case","    3.707606","1.762998e+00"
"case","    4.971615","1.522261e+00"
"control","8.378125e-01","2.540777e+00"
"case","7.697282e-01","0.000000e+00"
"case","   18.365336","0.000000e+00"
"control","1.505807e+00","5.859475e-01"
"case","    1.083699","8.199348e-01"
"case","5.837765e+00","6.408419e-01"
"control","    6.591236","2.513980e+00"
"case","    2.111611","0.000000e+00"
"control","    0.000000","1.783588e+01"
"case","    1.262759","0.000000e+00"
"case","    5.531291","0.000000e+00"
"case","    9.721465","7.507410e-01"
"case","3.923682e+00","0.000000e+00"
"case","    1.447026","5.001150e-01"
