# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:10
# SEK
#----------------------------

"status","UID-142","ENST00000518295.5"
"case","4.283895e-01","0.000000e+00"
"control","    1.070963","9.466408e+00"
"case","2.069715e+01","1.358145e+01"
"control","2.122093e+00","1.459652e+01"
"case","8.794895e+00","1.528947e+01"
"control","0.000000e+00","2.568733e+01"
"case","4.326106e+01","4.411205e+02"
"control","7.581303e+00","1.863330e+01"
"case","7.542741e-01","9.168722e+01"
"case","9.104646e+00","9.945373e+01"
"case","    8.529401","1.374054e+02"
"control","    0.000000","1.130372e+02"
"case","    0.000000","5.888805e+01"
"control","    0.000000","1.033482e+02"
"case","   10.258884","1.354993e+02"
"control","    9.910450","1.217508e+02"
"case","3.635293e+00","1.075538e+02"
"case","1.665088e+01","9.674082e+01"
"control","    2.19416","1.188747e+02"
"case","    7.345359","1.108781e+02"
"control","    3.135288","8.848536e+01"
"case","    7.922413","1.023014e+02"
"case","5.538186e+00","1.135038e+02"
"control","0.000000e+00","0.000000e+00"
"control","3.795748e+00","9.993480e+01"
"case","    1.317490","1.666815e+02"
"control","    2.687381","1.322031e+02"
"case","    6.717306","2.315278e+02"
"case","1.257031e+01","9.909678e+01"
"case","    0.000000","    138.1536"
"case","1.743626e+00","0.000000e+00"
"case","8.550097e+00","8.605500e+01"
"control","    0.000000","1.941371e+02"
"control","    1.024218","7.957562e+01"
"control","    3.854194","2.925025e+02"
"case","    0.000000","1.068407e+02"
"control","    8.163448","1.161068e+02"
"control","    4.710860","1.273046e+02"
"control","9.905626e-01","2.484705e+01"
"case","    7.642918","9.983149e+01"
"control","    5.246095","9.397455e+01"
"case","    8.284268","9.491601e+01"
"case","    3.707606","8.638692e+01"
"case","    4.971615","9.209678e+01"
"control","8.378125e-01","9.400876e+01"
"case","7.697282e-01","0.000000e+00"
"case","   18.365336","1.152697e+02"
"control","1.505807e+00","1.177755e+02"
"case","    1.083699","7.215426e+01"
"case","5.837765e+00","8.523197e+01"
"control","    6.591236","9.720723e+01"
"case","    2.111611","1.616411e+02"
"control","    0.000000","4.904867e+01"
"case","    1.262759","1.330838e+02"
"case","    5.531291","1.350420e+02"
"case","    9.721465","9.459336e+01"
"case","3.923682e+00","9.377300e+01"
"case","    1.447026","9.352150e+01"
