# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:25
# SEK
#----------------------------

"status","K-42","ENST00000644395.1"
"case","1.195207e+02","0.000000e+00"
"control","    7.496739","1.721165e+00"
"case","5.174287e+00","2.263576e+00"
"control","4.951549e+00","2.919304e+00"
"case","4.797215e+00","1.798761e+00"
"control","0.000000e+00","6.116031e-01"
"case","8.162464e-01","0.000000e+00"
"control","6.823173e+00","1.285055e+00"
"case","7.542741e-01","3.322001e+00"
"case","6.503319e-01","3.127476e+00"
"case","    0.000000","9.608772e-01"
"control","    1.347212","2.055221e+00"
"case","    0.000000","0.000000e+00"
"control","    0.000000","7.599131e-01"
"case","    3.847082","3.712310e+00"
"control","    0.000000","1.844708e+00"
"case","0.000000e+00","4.331024e+00"
"case","0.000000e+00","2.249786e+00"
"control","    1.09708","6.604151e+00"
"case","    0.000000","4.927916e+00"
"control","    9.405865","3.847190e+00"
"case","    0.000000","4.567027e+00"
"case","9.230309e-01","3.685188e+00"
"control","2.645818e+01","0.000000e+00"
"control","1.897874e+00","3.028327e+00"
"case","    6.587451","8.636348e-01"
"control","    4.031072","5.007691e+00"
"case","    0.000000","1.151880e+00"
"case","9.669471e-01","2.154278e+00"
"case","    0.000000","      1.1232"
"case","3.182118e+02","0.000000e+00"
"case","1.900022e+00","1.446302e+00"
"control","    1.181335","8.055482e-01"
"control","    0.000000","0.000000e+00"
"control","    0.000000","0.000000e+00"
"case","    0.000000","1.765962e+00"
"control","    0.000000","3.628338e+00"
"control","    3.140573","2.797904e+00"
"control","9.905626e-01","1.987764e+00"
"case","    0.000000","4.266303e+00"
"control","    0.000000","8.543141e+00"
"case","    1.380711","9.397624e-01"
"case","    0.000000","2.644498e+00"
"case","    0.000000","3.044522e+00"
"control","3.351250e+00","4.446360e+00"
"case","7.697282e-01","0.000000e+00"
"case","    9.722825","5.988038e+00"
"control","2.258711e+00","4.101633e+00"
"case","    1.083699","4.099674e+00"
"case","0.000000e+00","4.485893e+00"
"control","    6.591236","4.189967e+00"
"case","    0.000000","3.632384e+00"
"control","   31.620288","0.000000e+00"
"case","    0.000000","2.811631e+00"
"case","    1.106258","3.393016e+00"
"case","    1.080163","3.002964e+00"
"case","9.809206e-01","1.488460e+00"
"case","    0.000000","3.000690e+00"
