# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:24
# SEK
#----------------------------

"status","UID-142","ENST00000442510.7"
"case","4.283895e-01","1.576575e+04"
"control","    1.070963","3.193105e+04"
"case","2.069715e+01","2.727760e+04"
"control","2.122093e+00","2.051614e+04"
"case","8.794895e+00","2.113454e+04"
"control","0.000000e+00","2.775332e+04"
"case","4.326106e+01","1.835630e+04"
"control","7.581303e+00","2.772507e+04"
"case","7.542741e-01","1.788299e+04"
"case","9.104646e+00","1.826821e+04"
"case","    8.529401","1.166505e+04"
"control","    0.000000","1.217205e+04"
"case","    0.000000","2.113628e+04"
"control","    0.000000","1.888384e+04"
"case","   10.258884","1.403717e+04"
"control","    9.910450","1.428358e+04"
"case","3.635293e+00","1.241849e+04"
"case","1.665088e+01","1.261530e+04"
"control","    2.19416","1.540831e+04"
"case","    7.345359","1.300231e+04"
"control","    3.135288","1.618974e+04"
"case","    7.922413","1.342706e+04"
"case","5.538186e+00","1.344209e+04"
"control","0.000000e+00","9.422876e+03"
"control","3.795748e+00","1.096860e+04"
"case","    1.317490","9.773756e+03"
"control","    2.687381","1.292185e+04"
"case","    6.717306","8.912092e+03"
"case","1.257031e+01","1.843272e+04"
"case","    0.000000","   9595.4978"
"case","1.743626e+00","1.600343e+04"
"case","8.550097e+00","1.474939e+04"
"control","    0.000000","9.358859e+03"
"control","    1.024218","1.063478e+04"
"control","    3.854194","8.110820e+03"
"case","    0.000000","1.386722e+04"
"control","    8.163448","1.299036e+04"
"control","    4.710860","1.540806e+04"
"control","9.905626e-01","1.486251e+04"
"case","    7.642918","1.277416e+04"
"control","    5.246095","1.352000e+04"
"case","    8.284268","1.301665e+04"
"case","    3.707606","1.181650e+04"
"case","    4.971615","1.518912e+04"
"control","8.378125e-01","1.671323e+04"
"case","7.697282e-01","1.605236e+04"
"case","   18.365336","1.554046e+04"
"control","1.505807e+00","1.338773e+04"
"case","    1.083699","1.500809e+04"
"case","5.837765e+00","1.723288e+04"
"control","    6.591236","1.473695e+04"
"case","    2.111611","1.052756e+04"
"control","    0.000000","1.204814e+04"
"case","    1.262759","1.051644e+04"
"case","    5.531291","1.445560e+04"
"case","    9.721465","1.366574e+04"
"case","3.923682e+00","1.248669e+04"
"case","    1.447026","1.597967e+04"
