# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:21
# SEK
#----------------------------

"status","3184","ENST00000242057.8"
"case","1.713558e+01","5.485006e+02"
"control","    3.212888","8.003417e+02"
"case","1.121096e+01","1.036718e+03"
"control","2.122093e+00","8.925772e+02"
"case","1.599072e+00","9.542427e+02"
"control","0.000000e+00","9.583820e+02"
"case","2.856862e+00","2.134454e+01"
"control","0.000000e+00","8.815480e+02"
"case","7.542741e-01","9.035842e+02"
"case","1.300664e+00","7.437137e+02"
"case","    0.000000","5.784480e+02"
"control","    0.000000","4.778390e+02"
"case","   94.368152","1.322716e+03"
"control","    0.000000","9.346931e+02"
"case","    3.847082","9.039474e+02"
"control","    1.415779","7.111351e+02"
"case","1.817646e+00","7.478234e+02"
"case","1.110059e+01","7.094327e+02"
"control","    0.00000","7.140738e+02"
"case","    2.098674","6.168108e+02"
"control","    0.000000","1.080291e+03"
"case","    0.000000","9.417211e+02"
"case","1.846062e+00","7.503043e+02"
"control","0.000000e+00","1.720469e+02"
"control","4.744685e+00","7.305839e+02"
"case","    0.000000","6.675897e+02"
"control","    2.687381","6.780414e+02"
"case","    6.717306","4.342586e+02"
"case","0.000000e+00","6.513100e+02"
"case","    3.359339","    396.4896"
"case","1.394901e+01","1.860195e+03"
"case","9.500108e-01","5.763515e+02"
"control","    0.000000","3.769966e+02"
"control","    0.000000","6.100798e+02"
"control","    0.000000","8.357213e+02"
"case","    2.349239","6.569379e+02"
"control","    4.081724","8.281682e+02"
"control","    0.000000","1.072297e+03"
"control","6.636769e+01","1.032643e+03"
"case","    2.183691","5.819238e+02"
"control","    2.623048","9.349993e+02"
"case","    1.380711","6.193034e+02"
"case","    0.000000","6.003010e+02"
"case","    0.000000","5.815036e+02"
"control","0.000000e+00","6.764820e+02"
"case","1.955110e+02","1.104520e+03"
"case","    0.000000","6.878759e+02"
"control","0.000000e+00","7.060668e+02"
"case","    0.000000","6.887452e+02"
"case","8.339664e-01","5.171594e+02"
"control","    0.000000","5.555896e+02"
"case","    8.446444","5.330524e+02"
"control","    1.020009","1.449165e+03"
"case","    0.000000","4.442376e+02"
"case","    0.000000","8.896488e+02"
"case","    0.000000","6.786698e+02"
"case","9.809206e-01","8.394917e+02"
"case","    2.170539","7.006611e+02"
