# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:09
# SEK
#----------------------------

"status","UID-142","ENST00000619186.4"
"case","4.283895e-01","1.650356e+02"
"control","    1.070963","5.593786e+01"
"case","2.069715e+01","5.885297e+01"
"control","2.122093e+00","8.320016e+01"
"case","8.794895e+00","6.655416e+01"
"control","0.000000e+00","1.302715e+02"
"case","4.326106e+01","1.052997e+03"
"control","7.581303e+00","1.028044e+02"
"case","7.542741e-01","3.428305e+02"
"case","9.104646e+00","3.296359e+02"
"case","    8.529401","3.612898e+02"
"control","    0.000000","3.719951e+02"
"case","    0.000000","1.811940e+01"
"control","    0.000000","2.880071e+02"
"case","   10.258884","4.733195e+02"
"control","    9.910450","3.136004e+02"
"case","3.635293e+00","2.973970e+02"
"case","1.665088e+01","1.904819e+02"
"control","    2.19416","2.336218e+02"
"case","    7.345359","2.455745e+02"
"control","    3.135288","1.954372e+02"
"case","    7.922413","2.365720e+02"
"case","5.538186e+00","2.498558e+02"
"control","0.000000e+00","0.000000e+00"
"control","3.795748e+00","2.611932e+02"
"case","    1.317490","2.893177e+02"
"control","    2.687381","3.375184e+02"
"case","    6.717306","3.662977e+02"
"case","1.257031e+01","2.010659e+02"
"case","    0.000000","    249.3504"
"case","1.743626e+00","2.876590e+01"
"case","8.550097e+00","1.966971e+02"
"control","    0.000000","3.681355e+02"
"control","    1.024218","1.454313e+02"
"control","    3.854194","2.737708e+02"
"case","    0.000000","1.969048e+02"
"control","    8.163448","3.056875e+02"
"control","    4.710860","2.441171e+02"
"control","9.905626e-01","2.375378e+02"
"case","    7.642918","2.525651e+02"
"control","    5.246095","2.287663e+02"
"case","    8.284268","2.405792e+02"
"case","    3.707606","2.670943e+02"
"case","    4.971615","2.907518e+02"
"control","8.378125e-01","2.604297e+02"
"case","7.697282e-01","8.836162e+01"
"case","   18.365336","2.537431e+02"
"control","1.505807e+00","2.753953e+02"
"case","    1.083699","1.861252e+02"
"case","5.837765e+00","1.768724e+02"
"control","    6.591236","2.589399e+02"
"case","    2.111611","3.296389e+02"
"control","    0.000000","0.000000e+00"
"case","    1.262759","2.399258e+02"
"case","    5.531291","2.429399e+02"
"case","    9.721465","2.762727e+02"
"case","3.923682e+00","2.612248e+02"
"case","    1.447026","2.235514e+02"
