# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:26
# SEK
#----------------------------

"status","K-42","ENST00000440484.1"
"case","1.195207e+02","0.000000e+00"
"control","    7.496739","8.605825e-01"
"case","5.174287e+00","0.000000e+00"
"control","4.951549e+00","0.000000e+00"
"case","4.797215e+00","0.000000e+00"
"control","0.000000e+00","0.000000e+00"
"case","8.162464e-01","0.000000e+00"
"control","6.823173e+00","6.425277e-01"
"case","7.542741e-01","3.322001e+00"
"case","6.503319e-01","4.378466e+00"
"case","    0.000000","9.608772e+00"
"control","    1.347212","4.932531e+01"
"case","    0.000000","0.000000e+00"
"control","    0.000000","1.519826e+01"
"case","    3.847082","1.113693e+01"
"control","    0.000000","1.936944e+01"
"case","0.000000e+00","1.154940e+01"
"case","0.000000e+00","2.249786e+01"
"control","    1.09708","1.155726e+01"
"case","    0.000000","2.299694e+01"
"control","    9.405865","2.154426e+01"
"case","    0.000000","1.370108e+01"
"case","9.230309e-01","1.031853e+01"
"control","2.645818e+01","0.000000e+00"
"control","1.897874e+00","2.422662e+01"
"case","    6.587451","3.022722e+01"
"control","    4.031072","1.502307e+01"
"case","    0.000000","2.649323e+01"
"case","9.669471e-01","2.297896e+01"
"case","    0.000000","     23.5872"
"case","3.182118e+02","0.000000e+00"
"case","1.900022e+00","2.314084e+01"
"control","    1.181335","5.155509e+01"
"control","    0.000000","3.201318e+01"
"control","    0.000000","3.890427e+01"
"case","    0.000000","1.147875e+01"
"control","    0.000000","1.542044e+01"
"control","    3.140573","2.168376e+01"
"control","9.905626e-01","4.969410e+00"
"case","    0.000000","1.621195e+01"
"control","    0.000000","1.423857e+01"
"case","    1.380711","7.518100e+00"
"case","    0.000000","1.410399e+01"
"case","    0.000000","2.740069e+01"
"control","3.351250e+00","2.223180e+01"
"case","7.697282e-01","1.472694e+01"
"case","    9.722825","7.485047e+00"
"control","2.258711e+00","1.347679e+01"
"case","    1.083699","1.475883e+01"
"case","0.000000e+00","1.281684e+01"
"control","    6.591236","1.256990e+01"
"case","    0.000000","1.271334e+01"
"control","   31.620288","0.000000e+00"
"case","    0.000000","1.124652e+01"
"case","    1.106258","1.017905e+01"
"case","    1.080163","1.426408e+01"
"case","9.809206e-01","1.116345e+01"
"case","    0.000000","1.250287e+01"
