# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:13
# SEK
#----------------------------

"status","4017","ENST00000532765.1"
"case","1.370846e+01","2.912393e+01"
"control","   13.922515","3.098097e+01"
"case","8.623812e+00","1.056335e+01"
"control","1.556201e+01","2.116495e+01"
"case","1.918886e+01","8.993805e+00"
"control","0.000000e+00","4.220061e+01"
"case","1.661061e+02","7.114846e+00"
"control","9.097564e+00","3.212638e+01"
"case","1.508548e+00","5.780281e+01"
"case","0.000000e+00","6.067303e+01"
"case","    0.000000","7.590930e+01"
"control","    0.000000","5.651859e+01"
"case","   21.602348","9.059701e+00"
"control","    3.131746","3.267626e+01"
"case","    0.000000","4.640387e+01"
"control","   11.326228","3.412711e+01"
"case","2.726470e+00","4.403207e+01"
"case","9.250488e-01","4.049616e+01"
"control","    0.00000","4.705457e+01"
"case","    0.000000","5.831367e+01"
"control","   13.586250","4.078021e+01"
"case","    0.000000","4.110325e+01"
"case","0.000000e+00","5.896301e+01"
"control","7.116339e+01","2.646875e+01"
"control","5.693622e+00","4.088242e+01"
"case","    0.000000","3.540903e+01"
"control","   10.749525","5.308153e+01"
"case","    1.679327","2.418947e+01"
"case","4.834736e+00","4.883030e+01"
"case","    0.000000","     35.9424"
"case","0.000000e+00","7.351287e+01"
"case","1.900022e+00","4.049647e+01"
"control","    1.181335","3.544412e+01"
"control","    0.000000","3.933048e+01"
"control","    1.927097","3.602247e+01"
"case","    0.000000","4.150011e+01"
"control","    1.020431","3.900464e+01"
"control","    0.000000","3.357485e+01"
"control","1.981125e+00","4.969410e+00"
"case","    1.091845","3.583695e+01"
"control","    0.000000","4.366494e+01"
"case","    0.000000","4.792788e+01"
"case","    0.000000","4.143046e+01"
"case","    8.700326","4.110104e+01"
"control","6.702500e+00","2.731336e+01"
"case","2.771022e+01","0.000000e+00"
"case","    3.240942","4.865281e+01"
"control","7.529037e-01","4.628986e+01"
"case","    0.000000","3.197746e+01"
"case","3.335866e+00","6.152082e+01"
"control","    9.227730","5.446957e+01"
"case","    0.000000","7.809626e+01"
"control","    7.140065","0.000000e+00"
"case","    0.000000","2.999073e+01"
"case","    0.000000","5.360965e+01"
"case","    1.080163","3.903853e+01"
"case","4.904603e+00","5.135188e+01"
"case","    3.617565","4.250977e+01"
