# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:10
# SEK
#----------------------------

"status","UID-142","ENST00000568209.5"
"case","4.283895e-01","1.504736e+02"
"control","    1.070963","9.208233e+01"
"case","2.069715e+01","1.312874e+02"
"control","2.122093e+00","1.226108e+02"
"case","8.794895e+00","1.034288e+02"
"control","0.000000e+00","1.400571e+02"
"case","4.326106e+01","2.632493e+02"
"control","7.581303e+00","1.150125e+02"
"case","7.542741e-01","6.112481e+01"
"case","9.104646e+00","6.004753e+01"
"case","    8.529401","1.662317e+02"
"control","    0.000000","1.202304e+02"
"case","    0.000000","0.000000e+00"
"control","    0.000000","1.542624e+02"
"case","   10.258884","1.614855e+02"
"control","    9.910450","1.282072e+02"
"case","3.635293e+00","1.255997e+02"
"case","1.665088e+01","1.184888e+02"
"control","    2.19416","9.328363e+01"
"case","    7.345359","1.084142e+02"
"control","    3.135288","1.054130e+02"
"case","    7.922413","1.032148e+02"
"case","5.538186e+00","1.002371e+02"
"control","0.000000e+00","0.000000e+00"
"control","3.795748e+00","1.370318e+02"
"case","    1.317490","1.494088e+02"
"control","    2.687381","1.071646e+02"
"case","    6.717306","1.405293e+02"
"case","1.257031e+01","8.760730e+01"
"case","    0.000000","    138.1536"
"case","1.743626e+00","2.556969e+01"
"case","8.550097e+00","1.084727e+02"
"control","    0.000000","1.901094e+02"
"control","    1.024218","9.238090e+01"
"control","    3.854194","1.714670e+02"
"case","    0.000000","9.359600e+01"
"control","    8.163448","1.133856e+02"
"control","    4.710860","1.301025e+02"
"control","9.905626e-01","3.379199e+01"
"case","    7.642918","1.143369e+02"
"control","    5.246095","1.044162e+02"
"case","    8.284268","1.155908e+02"
"case","    3.707606","1.137134e+02"
"case","    4.971615","8.752999e+01"
"control","8.378125e-01","8.384565e+01"
"case","7.697282e-01","0.000000e+00"
"case","   18.365336","1.032937e+02"
"control","1.505807e+00","1.101581e+02"
"case","    1.083699","8.527322e+01"
"case","5.837765e+00","8.651366e+01"
"control","    6.591236","8.379933e+01"
"case","    2.111611","1.498358e+02"
"control","    0.000000","1.382281e+02"
"case","    1.262759","1.030931e+02"
"case","    5.531291","1.024691e+02"
"case","    9.721465","9.534410e+01"
"case","3.923682e+00","9.600569e+01"
"case","    1.447026","8.301908e+01"
