# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:16
# SEK
#----------------------------

"status","K-42","ENST00000647021.1"
"case","1.195207e+02","1.019337e+02"
"control","    7.496739","2.030975e+02"
"case","5.174287e+00","2.301302e+02"
"control","4.951549e+00","2.678461e+02"
"case","4.797215e+00","2.122538e+02"
"control","0.000000e+00","2.024406e+02"
"case","8.162464e-01","6.830252e+02"
"control","6.823173e+00","2.672915e+02"
"case","7.542741e-01","3.454881e+02"
"case","6.503319e-01","4.090738e+02"
"case","    0.000000","5.025388e+02"
"control","    1.347212","5.631306e+02"
"case","    0.000000","7.202462e+02"
"control","    0.000000","3.791966e+02"
"case","    3.847082","5.438534e+02"
"control","    0.000000","4.897701e+02"
"case","0.000000e+00","4.172219e+02"
"case","0.000000e+00","4.154606e+02"
"control","    1.09708","4.045042e+02"
"case","    0.000000","4.073744e+02"
"control","    9.405865","4.324241e+02"
"case","    0.000000","4.868451e+02"
"case","9.230309e-01","4.378004e+02"
"control","2.645818e+01","7.940626e+01"
"control","1.897874e+00","4.769615e+02"
"case","    6.587451","4.775901e+02"
"control","    4.031072","4.747292e+02"
"case","    0.000000","5.321684e+02"
"case","9.669471e-01","4.602974e+02"
"case","    0.000000","    497.5776"
"case","3.182118e+02","1.725954e+02"
"case","1.900022e+00","4.338907e+02"
"control","    1.181335","5.598560e+02"
"control","    0.000000","6.768501e+02"
"control","    0.000000","4.769375e+02"
"case","    0.000000","4.158841e+02"
"control","    0.000000","4.617061e+02"
"control","    3.140573","4.721463e+02"
"control","9.905626e-01","2.713298e+02"
"case","    0.000000","5.196357e+02"
"control","    0.000000","4.784159e+02"
"case","    1.380711","4.191340e+02"
"case","    0.000000","4.451571e+02"
"case","    0.000000","4.018768e+02"
"control","3.351250e+00","4.681382e+02"
"case","7.697282e-01","0.000000e+00"
"case","    9.722825","3.532942e+02"
"control","2.258711e+00","3.644594e+02"
"case","    1.083699","4.370252e+02"
"case","0.000000e+00","3.864277e+02"
"control","    6.591236","4.139687e+02"
"case","    0.000000","5.103500e+02"
"control","   31.620288","1.114743e+02"
"case","    0.000000","4.498609e+02"
"case","    1.106258","4.051261e+02"
"case","    1.080163","3.250708e+02"
"case","9.809206e-01","3.966747e+02"
"case","    0.000000","3.720855e+02"
