# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:22
# SEK
#----------------------------

"status","K-42","ENST00000524310.5"
"case","1.195207e+02","9.707976e+00"
"control","    7.496739","2.581748e+00"
"case","5.174287e+00","4.527152e+00"
"control","4.951549e+00","3.649130e+00"
"case","4.797215e+00","1.798761e+00"
"control","0.000000e+00","1.223206e+00"
"case","8.162464e-01","6.403361e+01"
"control","6.823173e+00","5.782749e+00"
"case","7.542741e-01","2.724041e+01"
"case","6.503319e-01","1.939035e+01"
"case","    0.000000","3.170895e+01"
"control","    1.347212","2.877310e+01"
"case","    0.000000","0.000000e+00"
"control","    0.000000","2.735687e+01"
"case","    3.847082","2.413001e+01"
"control","    0.000000","2.305886e+01"
"case","0.000000e+00","2.093328e+01"
"case","0.000000e+00","1.949815e+01"
"control","    1.09708","2.806764e+01"
"case","    0.000000","2.792486e+01"
"control","    9.405865","2.000539e+01"
"case","    0.000000","2.192173e+01"
"case","9.230309e-01","2.358520e+01"
"control","2.645818e+01","0.000000e+00"
"control","1.897874e+00","2.422662e+01"
"case","    6.587451","3.195449e+01"
"control","    4.031072","3.605538e+01"
"case","    0.000000","3.340451e+01"
"case","9.669471e-01","3.015989e+01"
"case","    0.000000","     31.4496"
"case","3.182118e+02","0.000000e+00"
"case","1.900022e+00","1.735563e+01"
"control","    1.181335","3.947186e+01"
"control","    0.000000","1.006129e+01"
"control","    0.000000","8.213124e+01"
"case","    0.000000","2.825540e+01"
"control","    0.000000","2.539837e+01"
"control","    3.140573","1.958533e+01"
"control","9.905626e-01","1.987764e+00"
"case","    0.000000","2.389130e+01"
"control","    0.000000","1.803552e+01"
"case","    1.380711","2.067477e+01"
"case","    0.000000","2.380048e+01"
"case","    0.000000","2.740069e+01"
"control","3.351250e+00","2.096141e+01"
"case","7.697282e-01","0.000000e+00"
"case","    9.722825","2.844318e+01"
"control","2.258711e+00","2.050816e+01"
"case","    1.083699","1.557876e+01"
"case","0.000000e+00","1.794357e+01"
"control","    6.591236","1.927385e+01"
"case","    0.000000","4.449671e+01"
"control","   31.620288","0.000000e+00"
"case","    0.000000","2.343025e+01"
"case","    1.106258","2.985854e+01"
"case","    1.080163","1.951927e+01"
"case","9.809206e-01","1.934999e+01"
"case","    0.000000","2.650609e+01"
