# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:09
# SEK
#----------------------------

"status","3184","ENST00000441708.2"
"case","1.713558e+01","0.000000e+00"
"control","    3.212888","8.433709e+01"
"case","1.121096e+01","8.978851e+01"
"control","2.122093e+00","8.320016e+01"
"case","1.599072e+00","8.993805e+01"
"control","0.000000e+00","4.342382e+01"
"case","2.856862e+00","0.000000e+00"
"control","0.000000e+00","1.028044e+02"
"case","7.542741e-01","1.528120e+02"
"case","1.300664e+00","1.563738e+02"
"case","    0.000000","1.566230e+02"
"control","    0.000000","1.418103e+02"
"case","   94.368152","0.000000e+00"
"control","    0.000000","9.726888e+01"
"case","    3.847082","9.744813e+01"
"control","    1.415779","1.042260e+02"
"case","1.817646e+00","9.889171e+01"
"case","1.110059e+01","1.102395e+02"
"control","    0.00000","1.279554e+02"
"case","    2.098674","1.059502e+02"
"control","    0.000000","9.925749e+01"
"case","    0.000000","1.306170e+02"
"case","1.846062e+00","9.581489e+01"
"control","0.000000e+00","0.000000e+00"
"control","4.744685e+00","1.203760e+02"
"case","    0.000000","6.131807e+01"
"control","    2.687381","1.011554e+02"
"case","    6.717306","8.408721e+01"
"case","0.000000e+00","9.335204e+01"
"case","    3.359339","     62.8992"
"case","1.394901e+01","0.000000e+00"
"case","9.500108e-01","9.256336e+01"
"control","    0.000000","7.411044e+01"
"control","    0.000000","1.015275e+02"
"control","    0.000000","8.645393e+01"
"case","    2.349239","7.681936e+01"
"control","    4.081724","1.079431e+02"
"control","    0.000000","4.266804e+01"
"control","6.636769e+01","1.470945e+02"
"case","    2.183691","1.186032e+02"
"control","    2.623048","1.101116e+02"
"case","    1.380711","1.061932e+02"
"case","    0.000000","1.093059e+02"
"case","    0.000000","8.144095e+01"
"control","0.000000e+00","1.117942e+02"
"case","1.955110e+02","5.301697e+02"
"case","    0.000000","8.832356e+01"
"control","0.000000e+00","1.271506e+02"
"case","    0.000000","1.115111e+02"
"case","8.339664e-01","8.779534e+01"
"control","    0.000000","1.240230e+02"
"case","    8.446444","1.371225e+02"
"control","    1.020009","0.000000e+00"
"case","    0.000000","1.068420e+02"
"case","    0.000000","7.193194e+01"
"case","    0.000000","8.032928e+01"
"case","9.809206e-01","1.361941e+02"
"case","    2.170539","9.702230e+01"
