# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:18
# SEK
#----------------------------

"status","K-42","ENST00000643052.1"
"case","1.195207e+02","0.000000e+00"
"control","    7.496739","1.376932e+01"
"case","5.174287e+00","2.112671e+01"
"control","4.951549e+00","3.503165e+01"
"case","4.797215e+00","3.237770e+01"
"control","0.000000e+00","2.629893e+01"
"case","8.162464e-01","0.000000e+00"
"control","6.823173e+00","3.276891e+01"
"case","7.542741e-01","3.654201e+01"
"case","6.503319e-01","3.190025e+01"
"case","    0.000000","3.555245e+01"
"control","    1.347212","3.082832e+01"
"case","    0.000000","0.000000e+00"
"control","    0.000000","2.127757e+01"
"case","    3.847082","2.227386e+01"
"control","    0.000000","2.490356e+01"
"case","0.000000e+00","2.670798e+01"
"case","0.000000e+00","2.774737e+01"
"control","    1.09708","3.879939e+01"
"case","    0.000000","3.121013e+01"
"control","    9.405865","3.154695e+01"
"case","    0.000000","3.105579e+01"
"case","9.230309e-01","3.242966e+01"
"control","2.645818e+01","0.000000e+00"
"control","1.897874e+00","2.574078e+01"
"case","    6.587451","1.209089e+01"
"control","    4.031072","2.303538e+01"
"case","    0.000000","1.497443e+01"
"case","9.669471e-01","1.436185e+01"
"case","    0.000000","     13.4784"
"case","3.182118e+02","3.196212e+00"
"case","1.900022e+00","2.241769e+01"
"control","    1.181335","1.852761e+01"
"control","    0.000000","2.743987e+00"
"control","    0.000000","1.440899e+00"
"case","    0.000000","2.207453e+01"
"control","    0.000000","3.356213e+01"
"control","    3.140573","1.329004e+01"
"control","9.905626e-01","1.987764e+00"
"case","    0.000000","2.559782e+01"
"control","    0.000000","3.227409e+01"
"case","    1.380711","1.785549e+01"
"case","    0.000000","1.939298e+01"
"case","    0.000000","2.207278e+01"
"control","3.351250e+00","2.858374e+01"
"case","7.697282e-01","0.000000e+00"
"case","    9.722825","2.470066e+01"
"control","2.258711e+00","3.046927e+01"
"case","    1.083699","1.803857e+01"
"case","0.000000e+00","2.242947e+01"
"control","    6.591236","2.597779e+01"
"case","    0.000000","3.359955e+01"
"control","   31.620288","4.013073e+02"
"case","    0.000000","1.686978e+01"
"case","    1.106258","2.442971e+01"
"case","    1.080163","2.402371e+01"
"case","9.809206e-01","2.307114e+01"
"case","    0.000000","2.550586e+01"
