# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:17
# SEK
#----------------------------

"status","K-42","ENST00000465552.2"
"case","1.195207e+02","0.000000e+00"
"control","    7.496739","1.204816e+01"
"case","5.174287e+00","2.339028e+01"
"control","4.951549e+00","1.459652e+01"
"case","4.797215e+00","2.068575e+01"
"control","0.000000e+00","1.651328e+01"
"case","8.162464e-01","4.268908e+01"
"control","6.823173e+00","1.927583e+01"
"case","7.542741e-01","1.993200e+01"
"case","6.503319e-01","1.751386e+01"
"case","    0.000000","1.921754e+01"
"control","    1.347212","1.849699e+01"
"case","    0.000000","0.000000e+00"
"control","    0.000000","2.051765e+01"
"case","    3.847082","1.113693e+01"
"control","    0.000000","1.660238e+01"
"case","0.000000e+00","2.021144e+01"
"case","0.000000e+00","1.199886e+01"
"control","    1.09708","1.651038e+01"
"case","    0.000000","2.053298e+01"
"control","    9.405865","1.384988e+01"
"case","    0.000000","2.100833e+01"
"case","9.230309e-01","1.842594e+01"
"control","2.645818e+01","0.000000e+00"
"control","1.897874e+00","1.816996e+01"
"case","    6.587451","1.209089e+01"
"control","    4.031072","1.502307e+01"
"case","    0.000000","8.063157e+00"
"case","9.669471e-01","2.082469e+01"
"case","    0.000000","      5.6160"
"case","3.182118e+02","0.000000e+00"
"case","1.900022e+00","1.446302e+01"
"control","    1.181335","3.222193e+00"
"control","    0.000000","5.487974e+00"
"control","    0.000000","0.000000e+00"
"case","    0.000000","9.712792e+00"
"control","    0.000000","2.358420e+01"
"control","    3.140573","1.678742e+01"
"control","9.905626e-01","2.385317e+01"
"case","    0.000000","1.535869e+01"
"control","    0.000000","1.898476e+01"
"case","    1.380711","8.457862e+00"
"case","    0.000000","1.762998e+01"
"case","    0.000000","1.370035e+01"
"control","3.351250e+00","1.460947e+01"
"case","7.697282e-01","0.000000e+00"
"case","    9.722825","1.497009e+01"
"control","2.258711e+00","2.402385e+01"
"case","    1.083699","1.557876e+01"
"case","0.000000e+00","1.794357e+01"
"control","    6.591236","1.759786e+01"
"case","    0.000000","1.271334e+01"
"control","   31.620288","0.000000e+00"
"case","    0.000000","1.686978e+01"
"case","    1.106258","1.696508e+01"
"case","    1.080163","1.051037e+01"
"case","9.809206e-01","1.934999e+01"
"case","    0.000000","1.550356e+01"
