# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:26
# SEK
#----------------------------

"status","4017","ENST00000367969.8"
"case","1.370846e+01","8.591558e+02"
"control","   13.922515","2.681575e+03"
"case","8.623812e+00","2.591040e+03"
"control","1.556201e+01","1.570585e+03"
"case","1.918886e+01","1.805956e+03"
"control","0.000000e+00","1.472129e+03"
"case","1.661061e+02","5.691877e+01"
"control","9.097564e+00","1.407778e+03"
"case","1.508548e+00","8.863098e+02"
"case","0.000000e+00","8.437929e+02"
"case","    0.000000","5.707610e+02"
"control","    0.000000","9.351257e+02"
"case","   21.602348","5.934104e+02"
"control","    3.131746","1.333648e+03"
"case","    0.000000","5.466376e+02"
"control","   11.326228","5.377325e+02"
"case","2.726470e+00","1.201859e+03"
"case","9.250488e-01","1.109145e+03"
"control","    0.00000","6.488578e+02"
"case","    0.000000","5.987418e+02"
"control","   13.586250","8.871619e+02"
"case","    0.000000","8.375928e+02"
"case","0.000000e+00","6.132153e+02"
"control","7.116339e+01","7.675939e+02"
"control","5.693622e+00","9.811780e+02"
"case","    0.000000","8.619076e+02"
"control","   10.749525","1.043603e+03"
"case","    1.679327","7.107097e+02"
"case","4.834736e+00","1.443366e+03"
"case","    0.000000","    980.5536"
"case","0.000000e+00","8.310150e+02"
"case","1.900022e+00","1.097744e+03"
"control","    1.181335","3.995519e+02"
"control","    0.000000","3.567183e+02"
"control","    1.927097","3.890427e+02"
"case","    0.000000","1.137280e+03"
"control","    1.020431","9.261334e+02"
"control","    0.000000","1.079291e+03"
"control","1.981125e+00","1.114142e+03"
"case","    1.091845","1.335353e+03"
"control","    0.000000","1.026126e+03"
"case","    0.000000","1.635187e+03"
"case","    0.000000","1.504719e+03"
"case","    8.700326","2.087781e+03"
"control","6.702500e+00","2.737052e+03"
"case","2.771022e+01","1.914502e+02"
"case","    3.240942","1.258236e+03"
"control","7.529037e-01","1.466041e+03"
"case","    0.000000","1.542297e+03"
"case","3.335866e+00","2.154510e+03"
"control","    9.227730","1.416209e+03"
"case","    0.000000","5.748248e+02"
"control","    7.140065","3.790125e+02"
"case","    0.000000","1.978451e+03"
"case","    0.000000","1.126481e+03"
"case","    1.080163","1.900125e+03"
"case","4.904603e+00","1.093274e+03"
"case","    3.617565","1.160267e+03"
