# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:11
# SEK
#----------------------------

"status","K-42","ENST00000530958.5"
"case","1.195207e+02","0.000000e+00"
"control","    7.496739","6.299464e+02"
"case","5.174287e+00","4.708238e+02"
"control","4.951549e+00","6.094047e+02"
"case","4.797215e+00","6.682397e+02"
"control","0.000000e+00","6.635893e+02"
"case","8.162464e-01","6.189916e+02"
"control","6.823173e+00","7.652505e+02"
"case","7.542741e-01","1.029820e+03"
"case","6.503319e-01","1.163421e+03"
"case","    0.000000","1.574878e+03"
"control","    1.347212","1.112902e+03"
"case","    0.000000","5.979402e+02"
"control","    0.000000","7.530739e+02"
"case","    3.847082","1.162881e+03"
"control","    0.000000","9.721613e+02"
"case","0.000000e+00","9.925263e+02"
"case","0.000000e+00","8.504193e+02"
"control","    1.09708","1.176364e+03"
"case","    0.000000","1.405277e+03"
"control","    9.405865","9.171700e+02"
"case","    0.000000","1.231271e+03"
"case","9.230309e-01","1.445331e+03"
"control","2.645818e+01","1.323438e+02"
"control","1.897874e+00","7.843367e+02"
"case","    6.587451","1.010453e+03"
"control","    4.031072","9.204137e+02"
"case","    0.000000","8.086195e+02"
"case","9.669471e-01","1.021846e+03"
"case","    0.000000","    814.3200"
"case","3.182118e+02","7.990529e+01"
"case","1.900022e+00","8.829676e+02"
"control","    1.181335","8.635477e+02"
"control","    0.000000","8.780758e+02"
"control","    0.000000","8.515712e+02"
"case","    0.000000","1.028673e+03"
"control","    0.000000","1.184652e+03"
"control","    3.140573","7.302529e+02"
"control","9.905626e-01","1.215518e+03"
"case","    0.000000","9.385867e+02"
"control","    0.000000","1.118202e+03"
"case","    1.380711","9.482203e+02"
"case","    0.000000","9.749381e+02"
"case","    0.000000","7.185071e+02"
"control","3.351250e+00","5.805676e+02"
"case","7.697282e-01","1.030886e+02"
"case","    9.722825","9.034452e+02"
"control","2.258711e+00","1.137324e+03"
"case","    1.083699","7.461407e+02"
"case","0.000000e+00","9.093547e+02"
"control","    6.591236","8.723511e+02"
"case","    0.000000","1.450229e+03"
"control","   31.620288","2.809151e+02"
"case","    0.000000","8.388031e+02"
"case","    1.106258","9.676881e+02"
"case","    1.080163","7.957854e+02"
"case","9.809206e-01","9.660108e+02"
"case","    0.000000","9.237123e+02"
