# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:08
# SEK
#----------------------------

"status","K-42","ENST00000359597.8"
"case","1.195207e+02","0.000000e+00"
"control","    7.496739","0.000000e+00"
"case","5.174287e+00","0.000000e+00"
"control","4.951549e+00","1.459652e+00"
"case","4.797215e+00","2.698142e+00"
"control","0.000000e+00","0.000000e+00"
"case","8.162464e-01","0.000000e+00"
"control","6.823173e+00","0.000000e+00"
"case","7.542741e-01","0.000000e+00"
"case","6.503319e-01","6.254951e-01"
"case","    0.000000","1.921754e+00"
"control","    1.347212","6.165664e+00"
"case","    0.000000","0.000000e+00"
"control","    0.000000","6.079305e+00"
"case","    3.847082","1.856155e+00"
"control","    0.000000","0.000000e+00"
"case","0.000000e+00","3.609186e+00"
"case","0.000000e+00","4.499573e+00"
"control","    1.09708","0.000000e+00"
"case","    0.000000","1.642639e+00"
"control","    9.405865","0.000000e+00"
"case","    0.000000","1.826811e+00"
"case","9.230309e-01","7.370376e-01"
"control","2.645818e+01","0.000000e+00"
"control","1.897874e+00","1.514164e+00"
"case","    6.587451","8.636348e-01"
"control","    4.031072","3.004615e+00"
"case","    0.000000","2.303759e+00"
"case","9.669471e-01","1.436185e+00"
"case","    0.000000","      0.0000"
"case","3.182118e+02","2.141462e+02"
"case","1.900022e+00","1.446302e+00"
"control","    1.181335","2.416645e+00"
"control","    0.000000","1.829325e+00"
"control","    0.000000","0.000000e+00"
"case","    0.000000","0.000000e+00"
"control","    0.000000","0.000000e+00"
"control","    3.140573","3.497380e+00"
"control","9.905626e-01","0.000000e+00"
"case","    0.000000","8.532606e-01"
"control","    0.000000","1.898476e+00"
"case","    1.380711","0.000000e+00"
"case","    0.000000","0.000000e+00"
"case","    0.000000","0.000000e+00"
"control","3.351250e+00","1.270389e+00"
"case","7.697282e-01","0.000000e+00"
"case","    9.722825","3.742524e+00"
"control","2.258711e+00","1.757843e+00"
"case","    1.083699","1.639870e+00"
"case","0.000000e+00","0.000000e+00"
"control","    6.591236","4.189967e+00"
"case","    0.000000","4.540480e+00"
"control","   31.620288","4.458970e+00"
"case","    0.000000","2.811631e+00"
"case","    1.106258","0.000000e+00"
"case","    1.080163","7.507410e-01"
"case","9.809206e-01","1.488460e+00"
"case","    0.000000","0.000000e+00"
