# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:23
# SEK
#----------------------------

"status","K-42","ENST00000645210.1"
"case","1.195207e+02","0.000000e+00"
"control","    7.496739","8.605825e-01"
"case","5.174287e+00","1.509051e+00"
"control","4.951549e+00","7.298260e-01"
"case","4.797215e+00","3.597522e+00"
"control","0.000000e+00","6.116031e-01"
"case","8.162464e-01","0.000000e+00"
"control","6.823173e+00","0.000000e+00"
"case","7.542741e-01","3.322001e+00"
"case","6.503319e-01","1.876485e+00"
"case","    0.000000","2.882631e+00"
"control","    1.347212","8.220885e+00"
"case","    0.000000","0.000000e+00"
"control","    0.000000","1.519826e+00"
"case","    3.847082","4.640387e+00"
"control","    0.000000","3.689417e+00"
"case","0.000000e+00","4.331024e+00"
"case","0.000000e+00","2.999715e+00"
"control","    1.09708","4.953113e+00"
"case","    0.000000","4.106597e+00"
"control","    9.405865","5.386065e+00"
"case","    0.000000","4.567027e+00"
"case","9.230309e-01","3.685188e+00"
"control","2.645818e+01","0.000000e+00"
"control","1.897874e+00","1.059914e+01"
"case","    6.587451","6.909079e+00"
"control","    4.031072","9.013845e+00"
"case","    0.000000","1.036692e+01"
"case","9.669471e-01","8.617111e+00"
"case","    0.000000","      5.6160"
"case","3.182118e+02","0.000000e+00"
"case","1.900022e+00","2.892605e+00"
"control","    1.181335","1.288877e+01"
"control","    0.000000","1.829325e+00"
"control","    0.000000","2.881798e+00"
"case","    0.000000","3.531924e+00"
"control","    0.000000","2.721254e+00"
"control","    3.140573","6.295284e+00"
"control","9.905626e-01","0.000000e+00"
"case","    0.000000","5.119564e+00"
"control","    0.000000","6.644665e+00"
"case","    1.380711","3.759050e+00"
"case","    0.000000","7.933493e+00"
"case","    0.000000","6.850173e+00"
"control","3.351250e+00","5.081555e+00"
"case","7.697282e-01","0.000000e+00"
"case","    9.722825","1.497009e+00"
"control","2.258711e+00","5.273528e+00"
"case","    1.083699","4.099674e+00"
"case","0.000000e+00","3.204210e+00"
"control","    6.591236","1.675987e+00"
"case","    0.000000","3.632384e+00"
"control","   31.620288","0.000000e+00"
"case","    0.000000","5.623261e+00"
"case","    1.106258","7.464635e+00"
"case","    1.080163","5.255187e+00"
"case","9.809206e-01","3.721151e+00"
"case","    0.000000","2.500575e+00"
