# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:22
# SEK
#----------------------------

"status","3184","ENST00000533526.1"
"case","1.713558e+01","0.000000e+00"
"control","    3.212888","2.065398e+01"
"case","1.121096e+01","2.791743e+01"
"control","2.122093e+00","2.773339e+01"
"case","1.599072e+00","2.518265e+01"
"control","0.000000e+00","1.957130e+01"
"case","2.856862e+00","2.845938e+01"
"control","0.000000e+00","2.570111e+01"
"case","7.542741e-01","3.919961e+01"
"case","1.300664e+00","5.191610e+01"
"case","    0.000000","4.996561e+01"
"control","    0.000000","3.904921e+01"
"case","   94.368152","1.599037e+03"
"control","    0.000000","2.355731e+01"
"case","    3.847082","3.805117e+01"
"control","    1.415779","3.043769e+01"
"case","1.817646e+00","3.825738e+01"
"case","1.110059e+01","7.874253e+01"
"control","    0.00000","5.365872e+01"
"case","    2.098674","1.388030e+02"
"control","    0.000000","8.232986e+01"
"case","    0.000000","1.068684e+02"
"case","1.846062e+00","1.474075e+02"
"control","0.000000e+00","0.000000e+00"
"control","4.744685e+00","8.025067e+01"
"case","    0.000000","8.290895e+01"
"control","    2.687381","1.011554e+02"
"case","    6.717306","3.455639e+01"
"case","0.000000e+00","9.047967e+01"
"case","    3.359339","    133.6608"
"case","1.394901e+01","0.000000e+00"
"case","9.500108e-01","6.580676e+01"
"control","    0.000000","1.304988e+02"
"control","    0.000000","9.055157e+01"
"control","    0.000000","1.440899e+01"
"case","    2.349239","1.280323e+02"
"control","    4.081724","1.451335e+02"
"control","    0.000000","8.323764e+01"
"control","6.636769e+01","3.081034e+01"
"case","    2.183691","9.300541e+01"
"control","    2.623048","1.205532e+02"
"case","    1.380711","9.679553e+01"
"case","    0.000000","6.875694e+01"
"case","    0.000000","1.019915e+02"
"control","0.000000e+00","2.032622e+01"
"case","1.955110e+02","2.945387e+01"
"case","    0.000000","1.205093e+02"
"control","0.000000e+00","1.687529e+02"
"case","    0.000000","1.033118e+02"
"case","8.339664e-01","1.307317e+02"
"control","    0.000000","1.692747e+02"
"case","    8.446444","1.734463e+02"
"control","    1.020009","0.000000e+00"
"case","    0.000000","7.497681e+01"
"case","    0.000000","1.201128e+02"
"case","    0.000000","8.032928e+01"
"case","9.809206e-01","1.094018e+02"
"case","    2.170539","1.105254e+02"
