# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:12
# SEK
#----------------------------

"status","UID-142","ENST00000536438.5"
"case","4.283895e-01","6.358724e+02"
"control","    1.070963","5.873476e+03"
"case","2.069715e+01","1.064182e+04"
"control","2.122093e+00","4.534409e+03"
"case","8.794895e+00","4.625514e+03"
"control","0.000000e+00","5.736837e+03"
"case","4.326106e+01","5.243641e+03"
"control","7.581303e+00","3.869302e+03"
"case","7.542741e-01","2.571229e+03"
"case","9.104646e+00","1.187815e+03"
"case","    8.529401","6.831837e+02"
"control","    0.000000","1.185863e+03"
"case","    0.000000","4.017977e+03"
"control","    0.000000","9.863672e+02"
"case","   10.258884","9.178686e+02"
"control","    9.910450","9.260436e+02"
"case","3.635293e+00","8.921909e+02"
"case","1.665088e+01","1.123393e+03"
"control","    2.19416","8.395527e+02"
"case","    7.345359","1.043076e+03"
"control","    3.135288","1.941292e+03"
"case","    7.922413","5.818393e+02"
"case","5.538186e+00","9.338267e+02"
"control","0.000000e+00","4.764376e+02"
"control","3.795748e+00","1.017518e+03"
"case","    1.317490","1.352452e+03"
"control","    2.687381","9.414460e+02"
"case","    6.717306","6.657864e+02"
"case","1.257031e+01","8.538121e+02"
"case","    0.000000","    700.8768"
"case","1.743626e+00","1.959278e+03"
"case","8.550097e+00","8.417480e+02"
"control","    0.000000","9.739078e+02"
"control","    1.024218","1.151560e+03"
"control","    3.854194","1.505739e+03"
"case","    0.000000","7.814383e+02"
"control","    8.163448","9.633238e+02"
"control","    4.710860","2.311768e+03"
"control","9.905626e-01","2.675530e+03"
"case","    7.642918","7.687878e+02"
"control","    5.246095","8.903851e+02"
"case","    8.284268","9.980277e+02"
"case","    3.707606","1.058681e+03"
"case","    4.971615","1.142457e+03"
"control","8.378125e-01","3.228693e+03"
"case","7.697282e-01","1.737778e+03"
"case","   18.365336","7.574868e+02"
"control","1.505807e+00","6.920040e+02"
"case","    1.083699","1.188905e+03"
"case","5.837765e+00","8.215593e+02"
"control","    6.591236","6.988864e+02"
"case","    2.111611","8.536103e+02"
"control","    0.000000","2.595121e+03"
"case","    1.262759","1.035617e+03"
"case","    5.531291","7.783578e+02"
"case","    9.721465","1.716945e+03"
"case","3.923682e+00","6.750168e+02"
"case","    1.447026","1.317803e+03"
