# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:09
# SEK
#----------------------------

"status","UID-142","ENST00000420292.1"
"case","4.283895e-01","6.358724e+02"
"control","    1.070963","6.549033e+02"
"case","2.069715e+01","4.738419e+02"
"control","2.122093e+00","2.853620e+02"
"case","8.794895e+00","4.712754e+02"
"control","0.000000e+00","2.275163e+02"
"case","4.326106e+01","1.323361e+03"
"control","7.581303e+00","3.032731e+02"
"case","7.542741e-01","3.461525e+02"
"case","9.104646e+00","3.928109e+02"
"case","    8.529401","1.873710e+02"
"control","    0.000000","4.120719e+02"
"case","    0.000000","9.059701e+00"
"control","    0.000000","4.726660e+02"
"case","   10.258884","2.106736e+02"
"control","    9.910450","2.564145e+02"
"case","3.635293e+00","3.767991e+02"
"case","1.665088e+01","4.409581e+02"
"control","    2.19416","3.690069e+02"
"case","    7.345359","1.749410e+02"
"control","    3.135288","3.100835e+02"
"case","    7.922413","3.279126e+02"
"case","5.538186e+00","2.837595e+02"
"control","0.000000e+00","9.264064e+02"
"control","3.795748e+00","4.921032e+02"
"case","    1.317490","2.115905e+02"
"control","    2.687381","3.124799e+02"
"case","    6.717306","4.653594e+02"
"case","1.257031e+01","3.899243e+02"
"case","    0.000000","    194.3136"
"case","1.743626e+00","1.917727e+01"
"case","8.550097e+00","4.707714e+02"
"control","    0.000000","2.771086e+02"
"control","    1.024218","3.722676e+02"
"control","    3.854194","2.060485e+02"
"case","    0.000000","4.220650e+02"
"control","    8.163448","3.573913e+02"
"control","    4.710860","2.196355e+02"
"control","9.905626e-01","1.496786e+03"
"case","    7.642918","4.198042e+02"
"control","    5.246095","2.524973e+02"
"case","    8.284268","2.546756e+02"
"case","    3.707606","3.957931e+02"
"case","    4.971615","3.607758e+02"
"control","8.378125e-01","6.656837e+02"
"case","7.697282e-01","2.945387e+02"
"case","   18.365336","4.161686e+02"
"control","1.505807e+00","3.175836e+02"
"case","    1.083699","4.271860e+02"
"case","5.837765e+00","5.280537e+02"
"control","    6.591236","4.055888e+02"
"case","    2.111611","2.161269e+02"
"control","    0.000000","1.114743e+02"
"case","    1.262759","4.236190e+02"
"case","    5.531291","2.178316e+02"
"case","    9.721465","4.541983e+02"
"case","3.923682e+00","4.271881e+02"
"case","    1.447026","3.970913e+02"
