# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:26
# SEK
#----------------------------

"status","UID-142","ENST00000242057.8"
"case","4.283895e-01","5.485006e+02"
"control","    1.070963","8.003417e+02"
"case","2.069715e+01","1.036718e+03"
"control","2.122093e+00","8.925772e+02"
"case","8.794895e+00","9.542427e+02"
"control","0.000000e+00","9.583820e+02"
"case","4.326106e+01","2.134454e+01"
"control","7.581303e+00","8.815480e+02"
"case","7.542741e-01","9.035842e+02"
"case","9.104646e+00","7.437137e+02"
"case","    8.529401","5.784480e+02"
"control","    0.000000","4.778390e+02"
"case","    0.000000","1.322716e+03"
"control","    0.000000","9.346931e+02"
"case","   10.258884","9.039474e+02"
"control","    9.910450","7.111351e+02"
"case","3.635293e+00","7.478234e+02"
"case","1.665088e+01","7.094327e+02"
"control","    2.19416","7.140738e+02"
"case","    7.345359","6.168108e+02"
"control","    3.135288","1.080291e+03"
"case","    7.922413","9.417211e+02"
"case","5.538186e+00","7.503043e+02"
"control","0.000000e+00","1.720469e+02"
"control","3.795748e+00","7.305839e+02"
"case","    1.317490","6.675897e+02"
"control","    2.687381","6.780414e+02"
"case","    6.717306","4.342586e+02"
"case","1.257031e+01","6.513100e+02"
"case","    0.000000","    396.4896"
"case","1.743626e+00","1.860195e+03"
"case","8.550097e+00","5.763515e+02"
"control","    0.000000","3.769966e+02"
"control","    1.024218","6.100798e+02"
"control","    3.854194","8.357213e+02"
"case","    0.000000","6.569379e+02"
"control","    8.163448","8.281682e+02"
"control","    4.710860","1.072297e+03"
"control","9.905626e-01","1.032643e+03"
"case","    7.642918","5.819238e+02"
"control","    5.246095","9.349993e+02"
"case","    8.284268","6.193034e+02"
"case","    3.707606","6.003010e+02"
"case","    4.971615","5.815036e+02"
"control","8.378125e-01","6.764820e+02"
"case","7.697282e-01","1.104520e+03"
"case","   18.365336","6.878759e+02"
"control","1.505807e+00","7.060668e+02"
"case","    1.083699","6.887452e+02"
"case","5.837765e+00","5.171594e+02"
"control","    6.591236","5.555896e+02"
"case","    2.111611","5.330524e+02"
"control","    0.000000","1.449165e+03"
"case","    1.262759","4.442376e+02"
"case","    5.531291","8.896488e+02"
"case","    9.721465","6.786698e+02"
"case","3.923682e+00","8.394917e+02"
"case","    1.447026","7.006611e+02"
