# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:13
# SEK
#----------------------------

"status","K-42","ENST00000644138.1"
"case","1.195207e+02","0.000000e+00"
"control","    7.496739","2.667806e+01"
"case","5.174287e+00","3.697174e+01"
"control","4.951549e+00","2.043513e+01"
"case","4.797215e+00","3.507584e+01"
"control","0.000000e+00","3.058015e+01"
"case","8.162464e-01","5.691877e+01"
"control","6.823173e+00","3.405397e+01"
"case","7.542741e-01","4.185721e+01"
"case","6.503319e-01","3.752971e+01"
"case","    0.000000","6.053526e+01"
"control","    1.347212","4.624248e+01"
"case","    0.000000","0.000000e+00"
"control","    0.000000","5.775340e+01"
"case","    3.847082","3.433887e+01"
"control","    0.000000","3.228240e+01"
"case","0.000000e+00","4.258840e+01"
"case","0.000000e+00","3.824637e+01"
"control","    1.09708","4.045042e+01"
"case","    0.000000","4.927916e+01"
"control","    9.405865","3.847190e+01"
"case","    0.000000","6.028476e+01"
"case","9.230309e-01","4.348522e+01"
"control","2.645818e+01","2.646875e+01"
"control","1.897874e+00","4.466783e+01"
"case","    6.587451","1.986360e+01"
"control","    4.031072","3.705692e+01"
"case","    0.000000","1.267068e+01"
"case","9.669471e-01","4.021319e+01"
"case","    0.000000","     12.3552"
"case","3.182118e+02","0.000000e+00"
"case","1.900022e+00","3.760386e+01"
"control","    1.181335","4.027741e+00"
"control","    0.000000","5.122109e+01"
"control","    0.000000","8.645393e+00"
"case","    0.000000","3.973415e+01"
"control","    0.000000","5.533216e+01"
"control","    3.140573","4.126908e+01"
"control","9.905626e-01","2.683481e+01"
"case","    0.000000","3.242390e+01"
"control","    0.000000","4.746189e+01"
"case","    1.380711","2.349406e+01"
"case","    0.000000","4.760096e+01"
"case","    0.000000","2.511730e+01"
"control","3.351250e+00","3.874685e+01"
"case","7.697282e-01","0.000000e+00"
"case","    9.722825","3.517972e+01"
"control","2.258711e+00","4.921959e+01"
"case","    1.083699","3.771700e+01"
"case","0.000000e+00","3.973220e+01"
"control","    6.591236","3.268174e+01"
"case","    0.000000","3.995623e+01"
"control","   31.620288","0.000000e+00"
"case","    0.000000","4.686051e+01"
"case","    1.106258","2.578692e+01"
"case","    1.080163","2.927890e+01"
"case","9.809206e-01","4.242112e+01"
"case","    0.000000","4.000920e+01"
