# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:10
# SEK
#----------------------------

"status","K-42","ENST00000645493.1"
"case","1.195207e+02","0.000000e+00"
"control","    7.496739","6.110136e+01"
"case","5.174287e+00","6.036202e+01"
"control","4.951549e+00","3.941060e+01"
"case","4.797215e+00","4.227088e+01"
"control","0.000000e+00","6.116031e+01"
"case","8.162464e-01","4.980392e+01"
"control","6.823173e+00","6.425277e+01"
"case","7.542741e-01","6.710441e+01"
"case","6.503319e-01","1.038322e+02"
"case","    0.000000","6.822228e+01"
"control","    1.347212","7.809841e+01"
"case","    0.000000","4.529850e+00"
"control","    0.000000","6.763227e+01"
"case","    3.847082","6.496542e+01"
"control","    0.000000","3.966123e+01"
"case","0.000000e+00","8.156761e+01"
"case","0.000000e+00","1.049900e+02"
"control","    1.09708","1.064919e+02"
"case","    0.000000","9.937964e+01"
"control","    9.405865","1.161851e+02"
"case","    0.000000","8.860033e+01"
"case","9.230309e-01","7.886303e+01"
"control","2.645818e+01","1.323438e+01"
"control","1.897874e+00","9.160690e+01"
"case","    6.587451","1.321361e+02"
"control","    4.031072","9.113998e+01"
"case","    0.000000","8.639097e+01"
"case","9.669471e-01","1.105863e+02"
"case","    0.000000","    104.4576"
"case","3.182118e+02","3.196212e+00"
"case","1.900022e+00","7.231512e+01"
"control","    1.181335","1.248600e+02"
"control","    0.000000","7.774630e+01"
"control","    0.000000","5.331326e+01"
"case","    0.000000","9.094705e+01"
"control","    0.000000","1.106643e+02"
"control","    3.140573","1.077193e+02"
"control","9.905626e-01","1.311924e+02"
"case","    0.000000","1.083641e+02"
"control","    0.000000","9.682227e+01"
"case","    1.380711","1.221691e+02"
"case","    0.000000","5.729745e+01"
"case","    0.000000","8.752999e+01"
"control","3.351250e+00","1.111590e+02"
"case","7.697282e-01","1.178155e+02"
"case","    9.722825","7.110795e+01"
"control","2.258711e+00","1.084003e+02"
"case","    1.083699","9.675230e+01"
"case","0.000000e+00","9.676713e+01"
"control","    6.591236","1.156431e+02"
"case","    0.000000","1.371225e+02"
"control","   31.620288","5.350764e+01"
"case","    0.000000","7.029076e+01"
"case","    1.106258","1.038263e+02"
"case","    1.080163","7.432336e+01"
"case","9.809206e-01","9.228454e+01"
"case","    0.000000","9.952288e+01"
