# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:27
# SEK
#----------------------------

"status","K-42","ENST00000642426.1"
"case","1.195207e+02","0.000000e+00"
"control","    7.496739","0.000000e+00"
"case","5.174287e+00","3.018101e+00"
"control","4.951549e+00","2.189478e+00"
"case","4.797215e+00","8.993805e-01"
"control","0.000000e+00","2.446412e+00"
"case","8.162464e-01","0.000000e+00"
"control","6.823173e+00","6.425277e-01"
"case","7.542741e-01","1.993200e+00"
"case","6.503319e-01","3.752971e+00"
"case","    0.000000","1.921754e+00"
"control","    1.347212","2.055221e+00"
"case","    0.000000","0.000000e+00"
"control","    0.000000","2.279739e+00"
"case","    3.847082","3.712310e+00"
"control","    0.000000","2.767063e+00"
"case","0.000000e+00","1.443675e+00"
"case","0.000000e+00","1.499858e+00"
"control","    1.09708","1.651038e+00"
"case","    0.000000","2.463958e+00"
"control","    9.405865","3.847190e+00"
"case","    0.000000","9.134055e-01"
"case","9.230309e-01","2.948151e+00"
"control","2.645818e+01","0.000000e+00"
"control","1.897874e+00","2.271245e+00"
"case","    6.587451","2.590905e+00"
"control","    4.031072","0.000000e+00"
"case","    0.000000","2.303759e+00"
"case","9.669471e-01","2.154278e+00"
"case","    0.000000","      3.3696"
"case","3.182118e+02","0.000000e+00"
"case","1.900022e+00","7.231512e-01"
"control","    1.181335","1.611096e+00"
"control","    0.000000","0.000000e+00"
"control","    0.000000","0.000000e+00"
"case","    0.000000","8.829811e-01"
"control","    0.000000","2.721254e+00"
"control","    3.140573","2.098428e+00"
"control","9.905626e-01","0.000000e+00"
"case","    0.000000","4.266303e+00"
"control","    0.000000","3.796952e+00"
"case","    1.380711","9.397624e-01"
"case","    0.000000","0.000000e+00"
"case","    0.000000","2.283391e+00"
"control","3.351250e+00","1.905583e+00"
"case","7.697282e-01","0.000000e+00"
"case","    9.722825","3.742524e+00"
"control","2.258711e+00","1.757843e+00"
"case","    1.083699","1.639870e+00"
"case","0.000000e+00","3.204210e+00"
"control","    6.591236","0.000000e+00"
"case","    0.000000","1.816192e+00"
"control","   31.620288","0.000000e+00"
"case","    0.000000","1.874420e+00"
"case","    1.106258","2.714413e+00"
"case","    1.080163","4.504446e+00"
"case","9.809206e-01","2.232691e+00"
"case","    0.000000","2.500575e+00"
