# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:19
# SEK
#----------------------------

"status","UID-142","ENST00000644138.1"
"case","4.283895e-01","0.000000e+00"
"control","    1.070963","2.667806e+01"
"case","2.069715e+01","3.697174e+01"
"control","2.122093e+00","2.043513e+01"
"case","8.794895e+00","3.507584e+01"
"control","0.000000e+00","3.058015e+01"
"case","4.326106e+01","5.691877e+01"
"control","7.581303e+00","3.405397e+01"
"case","7.542741e-01","4.185721e+01"
"case","9.104646e+00","3.752971e+01"
"case","    8.529401","6.053526e+01"
"control","    0.000000","4.624248e+01"
"case","    0.000000","0.000000e+00"
"control","    0.000000","5.775340e+01"
"case","   10.258884","3.433887e+01"
"control","    9.910450","3.228240e+01"
"case","3.635293e+00","4.258840e+01"
"case","1.665088e+01","3.824637e+01"
"control","    2.19416","4.045042e+01"
"case","    7.345359","4.927916e+01"
"control","    3.135288","3.847190e+01"
"case","    7.922413","6.028476e+01"
"case","5.538186e+00","4.348522e+01"
"control","0.000000e+00","2.646875e+01"
"control","3.795748e+00","4.466783e+01"
"case","    1.317490","1.986360e+01"
"control","    2.687381","3.705692e+01"
"case","    6.717306","1.267068e+01"
"case","1.257031e+01","4.021319e+01"
"case","    0.000000","     12.3552"
"case","1.743626e+00","0.000000e+00"
"case","8.550097e+00","3.760386e+01"
"control","    0.000000","4.027741e+00"
"control","    1.024218","5.122109e+01"
"control","    3.854194","8.645393e+00"
"case","    0.000000","3.973415e+01"
"control","    8.163448","5.533216e+01"
"control","    4.710860","4.126908e+01"
"control","9.905626e-01","2.683481e+01"
"case","    7.642918","3.242390e+01"
"control","    5.246095","4.746189e+01"
"case","    8.284268","2.349406e+01"
"case","    3.707606","4.760096e+01"
"case","    4.971615","2.511730e+01"
"control","8.378125e-01","3.874685e+01"
"case","7.697282e-01","0.000000e+00"
"case","   18.365336","3.517972e+01"
"control","1.505807e+00","4.921959e+01"
"case","    1.083699","3.771700e+01"
"case","5.837765e+00","3.973220e+01"
"control","    6.591236","3.268174e+01"
"case","    2.111611","3.995623e+01"
"control","    0.000000","0.000000e+00"
"case","    1.262759","4.686051e+01"
"case","    5.531291","2.578692e+01"
"case","    9.721465","2.927890e+01"
"case","3.923682e+00","4.242112e+01"
"case","    1.447026","4.000920e+01"
