# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:14
# SEK
#----------------------------

"status","1806","ENST00000530958.5"
"case","0.000000e+00","0.000000e+00"
"control","    0.000000","6.299464e+02"
"case","2.587144e+00","4.708238e+02"
"control","0.000000e+00","6.094047e+02"
"case","0.000000e+00","6.682397e+02"
"control","0.000000e+00","6.635893e+02"
"case","0.000000e+00","6.189916e+02"
"control","0.000000e+00","7.652505e+02"
"case","7.542741e-01","1.029820e+03"
"case","1.300664e+00","1.163421e+03"
"case","    8.529401","1.574878e+03"
"control","    1.347212","1.112902e+03"
"case","    0.000000","5.979402e+02"
"control","    0.000000","7.530739e+02"
"case","    2.564721","1.162881e+03"
"control","    1.415779","9.721613e+02"
"case","0.000000e+00","9.925263e+02"
"case","9.250488e-01","8.504193e+02"
"control","    0.00000","1.176364e+03"
"case","    2.098674","1.405277e+03"
"control","    0.000000","9.171700e+02"
"case","    0.000000","1.231271e+03"
"case","1.846062e+00","1.445331e+03"
"control","0.000000e+00","1.323438e+02"
"control","9.489369e-01","7.843367e+02"
"case","    0.000000","1.010453e+03"
"control","    0.000000","9.204137e+02"
"case","    1.679327","8.086195e+02"
"case","0.000000e+00","1.021846e+03"
"case","    0.000000","    814.3200"
"case","0.000000e+00","7.990529e+01"
"case","0.000000e+00","8.829676e+02"
"control","    2.362669","8.635477e+02"
"control","    0.000000","8.780758e+02"
"control","    0.000000","8.515712e+02"
"case","    0.000000","1.028673e+03"
"control","    0.000000","1.184652e+03"
"control","    1.570287","7.302529e+02"
"control","0.000000e+00","1.215518e+03"
"case","    3.275536","9.385867e+02"
"control","    0.000000","1.118202e+03"
"case","    1.380711","9.482203e+02"
"case","    0.000000","9.749381e+02"
"case","    1.242904","7.185071e+02"
"control","0.000000e+00","5.805676e+02"
"case","0.000000e+00","1.030886e+02"
"case","    1.080314","9.034452e+02"
"control","0.000000e+00","1.137324e+03"
"case","    1.083699","7.461407e+02"
"case","1.667933e+00","9.093547e+02"
"control","    0.000000","8.723511e+02"
"case","    1.055806","1.450229e+03"
"control","    0.000000","2.809151e+02"
"case","    0.000000","8.388031e+02"
"case","    0.000000","9.676881e+02"
"case","    1.080163","7.957854e+02"
"case","9.809206e-01","9.660108e+02"
"case","    0.723513","9.237123e+02"
