# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:16
# SEK
#----------------------------

"status","UID-142","ENST00000525056.1"
"case","4.283895e-01","3.883190e+01"
"control","    1.070963","3.528388e+01"
"case","2.069715e+01","3.923531e+01"
"control","2.122093e+00","4.232991e+01"
"case","8.794895e+00","5.756035e+01"
"control","0.000000e+00","3.058015e+01"
"case","4.326106e+01","0.000000e+00"
"control","7.581303e+00","6.232519e+01"
"case","7.542741e-01","3.322001e+01"
"case","9.104646e+00","5.379258e+01"
"case","    8.529401","7.494842e+01"
"control","    0.000000","4.932531e+01"
"case","    0.000000","1.223060e+02"
"control","    0.000000","3.267626e+01"
"case","   10.258884","3.990733e+01"
"control","    9.910450","3.412711e+01"
"case","3.635293e+00","3.609186e+01"
"case","1.665088e+01","4.574566e+01"
"control","    2.19416","5.613528e+01"
"case","    7.345359","6.242027e+01"
"control","    3.135288","3.462471e+01"
"case","    7.922413","5.663114e+01"
"case","5.538186e+00","7.517784e+01"
"control","0.000000e+00","0.000000e+00"
"control","3.795748e+00","2.649786e+01"
"case","    1.317490","3.109085e+01"
"control","    2.687381","4.406768e+01"
"case","    6.717306","1.727819e+01"
"case","1.257031e+01","3.590463e+01"
"case","    0.000000","     26.9568"
"case","1.743626e+00","4.794317e+01"
"case","8.550097e+00","3.254180e+01"
"control","    0.000000","2.174980e+01"
"control","    1.024218","3.750116e+01"
"control","    3.854194","2.305438e+01"
"case","    0.000000","5.209589e+01"
"control","    8.163448","5.623924e+01"
"control","    4.710860","3.077694e+01"
"control","9.905626e-01","5.963292e+01"
"case","    7.642918","4.095651e+01"
"control","    5.246095","4.841113e+01"
"case","    8.284268","4.604836e+01"
"case","    3.707606","4.054896e+01"
"case","    4.971615","2.892295e+01"
"control","8.378125e-01","2.032622e+01"
"case","7.697282e-01","5.890774e+01"
"case","   18.365336","3.592823e+01"
"control","1.505807e+00","6.621207e+01"
"case","    1.083699","4.755622e+01"
"case","5.837765e+00","5.126735e+01"
"control","    6.591236","5.111759e+01"
"case","    2.111611","9.353389e+01"
"control","    0.000000","4.013073e+01"
"case","    1.262759","5.248377e+01"
"case","    5.531291","5.496686e+01"
"case","    9.721465","3.453408e+01"
"case","3.923682e+00","6.102688e+01"
"case","    1.447026","4.250977e+01"
