# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:08
# SEK
#----------------------------

"status","4017","ENST00000503591.1"
"case","1.370846e+01","0.000000e+00"
"control","   13.922515","5.163495e+00"
"case","8.623812e+00","3.772626e+00"
"control","1.556201e+01","7.298260e-01"
"case","1.918886e+01","8.993805e-01"
"control","0.000000e+00","0.000000e+00"
"case","1.661061e+02","2.419048e+02"
"control","9.097564e+00","1.285055e+00"
"case","1.508548e+00","1.195920e+01"
"case","0.000000e+00","1.063342e+01"
"case","    0.000000","4.804386e+01"
"control","    0.000000","2.260743e+01"
"case","   21.602348","0.000000e+00"
"control","    3.131746","1.139870e+01"
"case","    0.000000","2.969848e+01"
"control","   11.326228","2.029179e+01"
"case","2.726470e+00","2.021144e+01"
"case","9.250488e-01","2.624751e+01"
"control","    0.00000","2.559108e+01"
"case","    0.000000","2.053298e+01"
"control","   13.586250","1.846651e+01"
"case","    0.000000","2.100833e+01"
"case","0.000000e+00","2.505928e+01"
"control","7.116339e+01","0.000000e+00"
"control","5.693622e+00","3.482576e+01"
"case","    0.000000","2.849995e+01"
"control","   10.749525","3.104769e+01"
"case","    1.679327","4.607518e+01"
"case","4.834736e+00","2.010659e+01"
"case","    0.000000","     35.9424"
"case","0.000000e+00","7.670908e+01"
"case","1.900022e+00","1.880193e+01"
"control","    1.181335","5.477728e+01"
"control","    0.000000","4.298913e+01"
"control","    1.927097","3.025888e+01"
"case","    0.000000","1.324472e+01"
"control","    1.020431","2.539837e+01"
"control","    0.000000","2.168376e+01"
"control","1.981125e+00","0.000000e+00"
"case","    1.091845","2.389130e+01"
"control","    0.000000","2.562942e+01"
"case","    0.000000","3.383145e+01"
"case","    0.000000","1.762998e+01"
"case","    8.700326","1.750600e+01"
"control","6.702500e+00","1.778544e+01"
"case","2.771022e+01","0.000000e+00"
"case","    3.240942","1.122757e+01"
"control","7.529037e-01","1.816437e+01"
"case","    0.000000","1.639870e+01"
"case","3.335866e+00","1.538021e+01"
"control","    9.227730","1.843585e+01"
"case","    0.000000","5.811815e+01"
"control","    7.140065","0.000000e+00"
"case","    0.000000","4.686051e+01"
"case","    0.000000","1.357206e+01"
"case","    1.080163","1.576556e+01"
"case","4.904603e+00","2.455960e+01"
"case","    3.617565","1.550356e+01"
