# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:16
# SEK
#----------------------------

"status","K-42","ENST00000425491.6"
"case","1.195207e+02","0.000000e+00"
"control","    7.496739","3.442330e+01"
"case","5.174287e+00","3.923531e+01"
"control","4.951549e+00","9.195807e+01"
"case","4.797215e+00","4.856655e+01"
"control","0.000000e+00","6.482993e+01"
"case","8.162464e-01","1.636415e+02"
"control","6.823173e+00","8.609871e+01"
"case","7.542741e-01","8.836522e+01"
"case","6.503319e-01","7.318293e+01"
"case","    0.000000","6.341789e+01"
"control","    1.347212","5.754620e+01"
"case","    0.000000","2.264925e+01"
"control","    0.000000","5.927322e+01"
"case","    3.847082","5.939696e+01"
"control","    0.000000","6.548715e+01"
"case","0.000000e+00","7.940210e+01"
"case","0.000000e+00","6.074423e+01"
"control","    1.09708","5.283321e+01"
"case","    0.000000","7.309742e+01"
"control","    9.405865","4.462740e+01"
"case","    0.000000","6.119817e+01"
"case","9.230309e-01","5.970005e+01"
"control","2.645818e+01","0.000000e+00"
"control","1.897874e+00","5.223864e+01"
"case","    6.587451","6.649988e+01"
"control","    4.031072","7.311230e+01"
"case","    0.000000","4.031579e+01"
"case","9.669471e-01","5.313885e+01"
"case","    0.000000","     68.5152"
"case","3.182118e+02","6.392423e+00"
"case","1.900022e+00","5.279004e+01"
"control","    1.181335","4.672180e+01"
"control","    0.000000","4.024514e+01"
"control","    0.000000","2.881798e+00"
"case","    0.000000","3.531924e+01"
"control","    0.000000","6.168175e+01"
"control","    3.140573","5.735703e+01"
"control","9.905626e-01","1.023698e+02"
"case","    0.000000","4.522281e+01"
"control","    0.000000","6.170046e+01"
"case","    1.380711","7.236171e+01"
"case","    0.000000","2.203748e+01"
"case","    0.000000","4.642895e+01"
"control","3.351250e+00","5.335632e+01"
"case","7.697282e-01","4.418081e+01"
"case","    9.722825","3.742524e+01"
"control","2.258711e+00","6.211044e+01"
"case","    1.083699","4.427648e+01"
"case","0.000000e+00","4.678146e+01"
"control","    6.591236","4.860361e+01"
"case","    0.000000","4.722099e+01"
"control","   31.620288","4.458970e+00"
"case","    0.000000","4.498609e+01"
"case","    1.106258","6.175289e+01"
"case","    1.080163","4.654594e+01"
"case","9.809206e-01","5.135188e+01"
"case","    0.000000","4.801104e+01"
