# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:09
# SEK
#----------------------------

"status","UID-142","ENST00000462363.6"
"case","4.283895e-01","1.228059e+03"
"control","    1.070963","2.975034e+03"
"case","2.069715e+01","3.457235e+03"
"control","2.122093e+00","2.085843e+03"
"case","8.794895e+00","2.312307e+03"
"control","0.000000e+00","2.106361e+03"
"case","4.326106e+01","1.858398e+04"
"control","7.581303e+00","2.393416e+03"
"case","7.542741e-01","1.340095e+03"
"case","9.104646e+00","1.573746e+03"
"case","    8.529401","1.769936e+03"
"control","    0.000000","1.927798e+03"
"case","    0.000000","5.852567e+03"
"control","    0.000000","2.272140e+03"
"case","   10.258884","1.995366e+03"
"control","    9.910450","1.809659e+03"
"case","3.635293e+00","1.967007e+03"
"case","1.665088e+01","1.607097e+03"
"control","    2.19416","2.129013e+03"
"case","    7.345359","1.667278e+03"
"control","    3.135288","1.806640e+03"
"case","    7.922413","1.720856e+03"
"case","5.538186e+00","1.706979e+03"
"control","0.000000e+00","8.205314e+02"
"control","3.795748e+00","1.644382e+03"
"case","    1.317490","1.403407e+03"
"control","    2.687381","1.572415e+03"
"case","    6.717306","1.527392e+03"
"case","1.257031e+01","1.691826e+03"
"case","    0.000000","   1341.1008"
"case","1.743626e+00","2.381178e+03"
"case","8.550097e+00","1.933706e+03"
"control","    0.000000","1.409709e+03"
"control","    1.024218","1.708589e+03"
"control","    3.854194","1.182978e+03"
"case","    0.000000","1.643228e+03"
"control","    8.163448","1.485805e+03"
"control","    4.710860","1.173721e+03"
"control","9.905626e-01","3.123771e+03"
"case","    7.642918","1.761983e+03"
"control","    5.246095","1.402024e+03"
"case","    8.284268","1.476367e+03"
"case","    3.707606","1.728620e+03"
"case","    4.971615","1.502471e+03"
"control","8.378125e-01","2.013566e+03"
"case","7.697282e-01","5.183881e+03"
"case","   18.365336","1.598806e+03"
"control","1.505807e+00","1.409204e+03"
"case","    1.083699","1.700545e+03"
"case","5.837765e+00","1.775132e+03"
"control","    6.591236","1.443025e+03"
"case","    2.111611","1.600973e+03"
"control","    0.000000","3.799043e+03"
"case","    1.262759","1.107782e+03"
"case","    5.531291","1.393851e+03"
"case","    9.721465","2.027001e+03"
"case","3.923682e+00","1.429666e+03"
"case","    1.447026","1.766406e+03"
