# Simulated random data filefor batch processing
# timestamp: 2020-04-15 21:59:24
# SEK
#----------------------------

"status","K-42","ENST00000524792.5"
"case","1.195207e+02","4.271509e+02"
"control","    7.496739","5.163495e+00"
"case","5.174287e+00","7.545253e+00"
"control","4.951549e+00","1.021756e+01"
"case","4.797215e+00","3.597522e+00"
"control","0.000000e+00","8.562443e+00"
"case","8.162464e-01","0.000000e+00"
"control","6.823173e+00","8.995388e+00"
"case","7.542741e-01","9.966002e+00"
"case","6.503319e-01","9.382427e+00"
"case","    0.000000","8.647894e+00"
"control","    1.347212","7.193275e+00"
"case","    0.000000","0.000000e+00"
"control","    0.000000","6.079305e+00"
"case","    3.847082","7.424619e+00"
"control","    0.000000","9.223542e+00"
"case","0.000000e+00","3.609186e+00"
"case","0.000000e+00","1.199886e+01"
"control","    1.09708","2.063797e+01"
"case","    0.000000","1.067715e+01"
"control","    9.405865","1.308044e+01"
"case","    0.000000","1.644130e+01"
"case","9.230309e-01","3.464077e+01"
"control","2.645818e+01","0.000000e+00"
"control","1.897874e+00","1.362747e+01"
"case","    6.587451","1.209089e+01"
"control","    4.031072","1.502307e+01"
"case","    0.000000","1.151880e+00"
"case","9.669471e-01","1.005330e+01"
"case","    0.000000","     10.1088"
"case","3.182118e+02","2.556969e+01"
"case","1.900022e+00","1.157042e+01"
"control","    1.181335","1.611096e+00"
"control","    0.000000","1.097595e+01"
"control","    0.000000","1.584989e+01"
"case","    0.000000","7.946830e+00"
"control","    0.000000","2.086295e+01"
"control","    3.140573","9.093188e+00"
"control","9.905626e-01","0.000000e+00"
"case","    0.000000","1.791847e+01"
"control","    0.000000","1.993400e+01"
"case","    1.380711","1.127715e+01"
"case","    0.000000","1.586699e+01"
"case","    0.000000","1.141696e+01"
"control","3.351250e+00","5.081555e+00"
"case","7.697282e-01","7.363468e+01"
"case","    9.722825","1.122757e+01"
"control","2.258711e+00","1.816437e+01"
"case","    1.083699","2.459804e+01"
"case","0.000000e+00","1.666189e+01"
"control","    6.591236","1.005592e+01"
"case","    0.000000","1.634573e+01"
"control","   31.620288","9.363838e+01"
"case","    0.000000","5.623261e+00"
"case","    1.106258","1.560787e+01"
"case","    1.080163","6.756669e+00"
"case","9.809206e-01","8.930762e+00"
"case","    0.000000","1.100253e+01"
